golden_id,customer_tweet_id,customer_text,golden_intent,confidence,case_type,escalation_expected,annotation_notes,brand_response,review_order,golden_selected,annotation_status,text_length,has_question_mark,has_number,signal_network,signal_data,signal_recharge,signal_sim_device,signal_vas_charge,signal_bonus_promo,signal_account_general,signal_low_information,signal_possible_escalation,signal_short_message,topic_signal_count,review_priority,review_example
G001,1936686,"@GloCare so I recharged yesterday and I didn't get my usual bumba bonus, please why, 08117626261",bonus_or_promotion_issue,high,rare,no,Customer expected a recharge-linked bonus and did not receive it.,@576175 the line provided is not on Glo Bumpa but on Glo Bounce ~ OO,1.0,yes,,,,,,,,,,,,,,,,,
G002,2092919,@glocare pls I migrated to Glo jumbo and recharged. I've been given bonus but couldn't use it to call. help,bonus_or_promotion_issue,high,ambiguous,yes,Bonus was received but could not be used for calls; line-specific checking is required.,@246223 #TeamUnlimited# to the rescue! Kindly provide your number for checks  @83873. Thank you for choosing Glo. GA,2.0,yes,,,,,,,,,,,,,,,,,
G003,1972746,"@GloCare please if I recharge my jumbo SIM, for existing subscriber , will my money be taking or will it still remain on my main balance",data_plan_issue,high,routine,no,Asks how Jumbo recharge affects main balance versus bonus balance.,"@584299 Hello Kommanda, the amount recharged will be credited in your main account. Bonus will be credited in a different account. Thank you. SO",3.0,yes,,,,,,,,,,,,,,,,,
G004,1024681,"@GloCare  Could you please send me the steps to recharge my Glo numbers using Ecobank Bank, Wuse 2 Abuja, Nigeria.",recharge_or_airtime_issue,high,routine,no,Asks for the procedure to recharge a Glo number through a bank.,@362474 Please visit any of : https://t.co/QtHZF68dka  or https://t.co/E1huUCbBr9 or https://t.co/6tDm6qs8TT Thank you. GA,4.0,yes,,,,,,,,,,,,,,,,,
G005,2582778,"@GloCare pls i don't know how this pre-loaded airtime works,  cus I bought a new sim and recharged but didn't see any bonus",bonus_or_promotion_issue,high,rare,no,New SIM and prepaid bonus entitlement are the support goal.,"@731949 Hello Chinedu , Kindly recharge to unlock the bonus .EE",5.0,yes,,,,,,,,,,,,,,,,,
G006,1885085,"@GloCare,@117627, I've lodged complain that I've not been able to call out except the customer care line, and I can't recharge on my phone",voice_or_line_issue,medium,ambiguous,yes,Primary complaint is inability to make calls; recharge failure is a secondary issue.,"@136518 @117627 Hello Olokunniyi, we apologize for the inconveniences experienced.Issue is being worked on, will be resolved shortly.Please bear with us. SO",6.0,yes,,,,,,,,,,,,,,,,,
G007,734481,"@GloCare please you guys should help me check my line as I was awarded 500mb after I recharged but I'm been deducted from my Normal data subscription which really isn't suppose to be so, this is the number 08058976647",bonus_or_promotion_issue,medium,ambiguous,yes,Complaint concerns how awarded bonus data is being consumed relative to the normal bundle.,@295735 Good morning Eze. The bonus data is added to your data bundle. FA,7.0,yes,,,,,,,,,,,,,,,,,
G008,1735825,"@GloCare I hav a lot of data&amp;call bonus,but's still charged frm my main balance Wen calln/browsn. &amp; #124#, #124*1# no longa work 08113877114",bonus_or_promotion_issue,medium,ambiguous,yes,Customer expects bonus balances to be used before main balance; requires account/usage checking.,"@512323 Afternoon,you have exhausted your data bonus. The voice bonus can only be used for glo to glo calls. AP",8.0,yes,,,,,,,,,,,,,,,,,
G009,493087,@232561 @117627 @GloCare UPDATE!!! They've Deducted N10 From The 980 Again.. N1k Airtime Just This Morning Now Down To N970.. https://t.co/LWukklgbxv,unauthorized_charge_or_vas,high,escalation_relevant,yes,Customer reports unexplained airtime deductions.,"@232560 We apologize,kindly provide your number for a quick check. AP",9.0,yes,,,,,,,,,,,,,,,,,
G010,2474624,"@GloCare My sister recharged and subscribed for glo data plan of N1000 on the 10th, airtime value was deducted but haven't received data paid for, pls resolve asap.",data_plan_issue,high,routine,yes,Data plan was paid for but the purchased allocation was not received; transaction-specific check needed.,"@707496 Sincere apologies, may we have the affected number and device type? GA",10.0,yes,,,,,,,,,,,,,,,,,
G011,2267327,"@117627 @659903 Since @GloCare won't take my calls please why is #100 taken from my account daily when I have not subscribed for data or any glo services. I bought this line on Thursday 9th Nov., 2017",unauthorized_charge_or_vas,high,escalation_relevant,yes,Customer explicitly reports recurring deductions for an unrequested service.,"@659902 @117627 Kindly send in your number,for a check. CA",11.0,yes,,,,,,,,,,,,,,,,,
G012,2490259,"@GloCare @117627 Number-07052632663
Device type- infinix hot note x551
Location- Akwa Ibom state university, Ikot Akpaden, Mkpat enin, Akwa ibom state
Error message- emergency
Signal- No signal
Alternate numbers- 08128059629...08147428657",network_issue,high,escalation_relevant,yes,Explicit no-signal/network failure with location and device details; historical response says it was escalated.,"@242707 @117627 Sincere apologies Cater, We apologize for any inconvenience you may have experienced.The complaint has been escalated. You will receive a text informing you when the issue will be rectified. Thank you. GA",12.0,yes,,,,,,,,,,,,,,,,,
