intent,definition,include,exclude
network_issue,"Customer reports poor, unavailable, unstable, or otherwise problematic network connectivity or coverage.","No signal, poor network, network unavailable, coverage/connectivity complaints.","Problems specifically caused by a data package, SIM/device, or voice/line issue when that is the primary goal."
data_service_issue,"Customer reports that mobile data or browsing is unavailable, unreliable, slow, unexpectedly consumed, or otherwise not functioning as expected.","Cannot browse, cannot use data, slow browsing, download problems, unexpected data consumption.","Requests primarily about purchasing, activating, cancelling, changing, or understanding a data package or subscription."
data_plan_issue,"Customer seeks information, activation, cancellation, modification, or resolution concerning a data package, subscription, bundle, renewal, allocation, or data-plan benefit.","Package size, subscription, activation, cancellation, renewal, allocation, plan information, data benefit.",Pure data connectivity or browsing-performance problems.
unauthorized_charge_or_vas,"Customer reports an unexpected, unauthorized, or unwanted charge or value-added service.","Unauthorized deductions, unwanted VAS, caller-tune charges, unexplained service subscriptions.",Normal recharge or ordinary data-plan transactions without an unauthorized-charge complaint.
recharge_or_airtime_issue,"Customer needs help with recharge, airtime balance, or an airtime/recharge transaction.","Recharge failed, recharge missing, airtime problems, recharge transaction issues.",Data-package or unauthorized-charge problems when those are the primary goal.
sim_or_device_issue,Customer's support goal concerns SIM functionality/replacement/credentials or device compatibility.,"SIM replacement, SIM swap, PUK/SIM information, handset or SIM compatibility.","Problems that are primarily about data plans, network service, or voice service."
voice_or_line_issue,Customer's support goal concerns the status or functioning of their mobile line or voice service.,"Line inactive, line access problems, voice/calling service problems.",Unauthorized VAS charges or SIM/device issues when those are the primary goal.
bonus_or_promotion_issue,"Customer needs help with a bonus, promotion, promotional eligibility, or promotional entitlement.","Missing bonus, promotion eligibility, promotional activation or entitlement.",Ordinary purchased data or airtime plans.
account_or_general_support,Customer has an actionable support request that does not fit an established service-specific intent and requires general or account/customer-specific handling.,Miscellaneous actionable requests such as account-specific assistance or service requests without a better-fitting intent.,Messages that clearly belong to another specific intent or contain no actionable support request.
non_actionable_or_context_required,The message alone does not provide enough information to determine an actionable customer-support goal.,"Phone number only, SIM/PUK details only, vague follow-ups, acknowledgements without a clear request.",Messages with a sufficiently clear support goal.
