review_example,customer_tweet_id,customer_text,brand_response,golden_selected,golden_intent,confidence,case_type,escalation_expected,annotation_notes
1,469794,"@GloCare i did not apply for any #service. Dear User, your billing for Glo Gamestore has failed due insufficient balance. Please recharge",@222686 Kindly provide your phone number for assistance. ET.,yes,unauthorized_charge_or_vas,high,routine,no,Customer denies requesting Gamestore service; account/service billing issue.
2,1894596,@GloCare That's not what I have problem with please. Fix this deductions thing.,@564748 Complaint has been escalated. You will receive a text informing you when the issue will be rectified. GA,yes,unauthorized_charge_or_vas,high,escalation_relevant,yes,Customer explicitly asks to resolve unexplained deductions.
3,2693389,@GloCare I don't appreciate being ignored and I'm losing my patience. what kind of stupid customer service is this?,@756549 The issue has been escalated. Please check our last tweet on your timeline. Thank you for your patience. UO,no,non_actionable_or_context_required,high,low_information,yes,Complaint refers to prior support but underlying issue is not stated.
4,988312,"@GloCare haba, my glo 4g lte wanna kill me this month since i subscribed. It doesnt go again, im tired pls help 😩😭😭😭","@354156 Good afternoon, may we have your number, device details, exact location and error message for assistance. We empathize. SO",yes,data_service_issue,high,escalation_relevant,yes,4G/data service stopped after subscription.
5,883415,@GloCare but one things remains. I am a victim of unsolicited deductions. Please deactivate all deductions on 0815699716,"@329777 Good evening, we empathize, number not correct. Please dial 777*# to know number. SG",yes,unauthorized_charge_or_vas,high,escalation_relevant,yes,Unsolicited deductions/service issue requires account-specific investigation.
6,46773,@GloCare As a matter of fact I didn't download any song So please deactivate any caller tunes and VAS or song as a matter of urgency .thanks,@126397 Your request for VAS deactivation has bee treated. Stay Unlimited!  TT,yes,unauthorized_charge_or_vas,high,routine,no,Customer wants caller-tune/VAS messages stopped.
7,209853,@GloCare I am sincerely disappointed in glo customer service. Would I have lied on that? Even your colleague earlier confirmed it. Check chat history,"@165648 Hello Julius,  Due to system upgrade, we apologize we are not be able to run a check at this time. Kindly exercise some patience. UO",no,non_actionable_or_context_required,high,low_information,yes,Customer refers to a previous issue without stating the underlying problem.
8,2782502,@GloCare @117627 DM is preferable please.,@139877 @117627 Kindly follow us. ET.,no,non_actionable_or_context_required,high,low_information,no,DM-only/context-dependent message with no actionable issue.
9,160989,@GloCare  I haven't gotten any response please,"@153131 Good evening, we apologize but due to security reason, need to call 121 for assistance. SG",no,non_actionable_or_context_required,high,low_information,yes,Underlying support problem is not sufficiently specified.
10,2414019,@GloCare Please can i know the meaning of DND list,@693915 Do not disturb . CA,yes,account_or_general_support,high,routine,no,Asks for the meaning of DND.
11,2685770,@GloCare hi would like to deactivate my glo camp-boost plan,"@433350 Hello George, do you refer to stopping an already active plan? UO",yes,data_plan_issue,high,routine,no,Requests deactivation of a specific data plan.
12,1190661,"@GloCare Y'all need to do better tbh. 

Please just do better.","@399853 Hello Oluwatosin, how may we help you?  TT",no,non_actionable_or_context_required,high,low_information,no,Generic dissatisfaction without an actionable support goal.
13,1157088,@GloCare pls i want to remove a no. From glo gifting how do i do that,"@392192 Hello Tobi, you can remove shared number ( not gifting) Dial *127*02*[friend’s number]# OR Send “Remove [friend’s number]” to 127. SO",yes,data_plan_issue,high,routine,no,Requests removal from data gifting/sharing.
14,2330462,"@GloCare Please, how long would it take to be able to resolve this issue. The experience is not funny at all...","@674704 We apologize, Kindly be patient.Thank you.EE",no,non_actionable_or_context_required,high,low_information,yes,Unspecified prior issue; message lacks actionable support goal.
15,33122,"@GloCare please where can I locate glo office near University of Ibadan environs.
Need to retrieve my lost sim card ASAP. Thanks","@123325 Hello Ijeoma, Conoil Filling Station, Sango/Eleyele Road, Beside Polytechnic south campus gate, Ibadan. SO",yes,sim_or_device_issue,high,routine,no,Asks where to retrieve a lost SIM.
16,1123739,"@GloCare I rchrgd N500 wt *323*PIN# bt none of my accts ws credited, made 2 kols to 121 yet not credited abt 7hrs now. 08050597950.",@385001 Good morning. May we have the recharge card serial number via DM? FA,yes,recharge_or_airtime_issue,high,escalation_relevant,yes,Recharge was made but account was not credited.
17,2121921,What are the requirements for retrieving a lost sim @GloCare,"@456319 Visit any Gloworld/Glo zone outlet with a valid means of ID, at least N100, the sim pack or affidavit and 5 frequently dialed numbers. GA",yes,sim_or_device_issue,high,routine,no,Asks requirements for retrieving a lost SIM.
18,20402,@GloCare *123*pin#,@120456 We apologize. Please provide card serial number. UO,yes,recharge_or_airtime_issue,medium,ambiguous,yes,Short recharge code; historical response indicates recharge-card handling.
