customer_tweet_id,customer_text,review_bucket,brand_responses,response_count
9089,@GloCare @117625 @117626 @117627 Recall this is the 13th times given out this number to you people especially TT,account_general_candidate|data_plan_candidate|voice_line_candidate,@117624 @117625 @117626 @117627 Record shows the VAS has been deactivated since yesterday.  Stay Unlimited!  TT || @117624 @117625 @117626 @117627 Record shows the VAS has been deactivated since yesterday.  Stay Unlimited!  TT || @117624 @117625 @117626 @117627 Record shows the VAS has been deactivated since yesterday.  Stay Unlimited!  TT,3
9092,@117628 @GloCare @117625 @117626 @117627 @48760 @53205 @7476  Hw @117627 is now robbing Peter 2pay Paul wht an unfortunate company is GLO network? I reported illegal deduction still ongoing.,account_general_candidate,"@117624 Hello Sumbo, no negative deduction noticed on the line. Please confirm the date and amount? SO",1
9099,@GloCare @117628 @117625 @117626 @117627 @48760 @53205 @7476 This is over 10 times u people have been asking 4my number with conflicting responses frm SO &amp; d likes. 08054117690. U must refund my money.,account_general_candidate|data_plan_candidate,@117624 @117628 @117625 @117626 @117627 @48760 @53205 @7476 We sincerely apologize.We are unable to assist to access the line that we are currently carrying out an upgrade. Please check back later. SO || @117624 @117628 @117625 @117626 @117627 @48760 @53205 @7476 We sincerely apologize.We are unable to assist to access the line that we are currently carrying out an upgrade. Please check back later. SO,2
14272,@GloCare Mashafa Road Mpape Abuja 09058689953.i have written and your people have come to the area and reported back yet you keep apologising action,account_general_candidate,"@119034 We apologize for any inconvenience. Kindly be patient. Your mail will be attended to. Thank you.EE || @119034 We  apologize, Kindly be patient. It will be worked on.Thank you .EE",2
19085,"@GloCare I need clarification, If I port from another network to glo and subscribe to your N5000 data plan, how many GB in total will I get?",account_general_candidate|data_plan_candidate,"@120252 Hello Tolulade, you will get 100% data (24GB will be credited) for 1st subscription. SO || @120252 Hello Tolulade, you will get 100% data (24GB will be credited) for 1st subscription. SO",2
19090,@GloCare please I recharged 200 and it was deducted I was given 200mb. So how do I unsubscribe,account_general_candidate|data_plan_candidate,"@120254 Good morning, please text cancel to 127 to deactivate auto renewal. However, revert with your number for status update. SO || @120254 Good morning, please text cancel to 127 to deactivate auto renewal. However, revert with your number for status update. SO",2
19092,"@GloCare please, how do I unsubscribe for data? ✌",account_general_candidate|data_plan_candidate,@120254 Please visit https://t.co/GvxBuIxUZL for data plan list. UO || @120254 Please visit https://t.co/GvxBuIxUZL for data plan list. UO,2
20364,"@GloCare SN...__credit_card__
07055534656 is my number",account_general_candidate|data_plan_candidate,@120451 Please dial #122*30# to confirm 4x bonus. Thank you. SO || @120451 Please dial #122*30# to confirm 4x bonus. Thank you. SO,2
20372,"@GloCare 08073575706, behind costom office Federal Lowcost Northbank Makurdi Benue State. We ll be happy if this is fixed ASAP thnx.",account_general_candidate,"@120453 Please restart the device and try your calls again. Line has been refreshed. SO || @120453 Good morning, we empathize. However, you don't have an active data plan. Please dial *777# to subscribe and connect. SO",2
20396,@GloCare pls I want to know if I was giving the free data today how can I check it out tnxs,account_general_candidate,"@120455 Hello Umoh, yesterday was free data. Sms was sent to qualified customers. Confirmation code is #122#. SO",1
