customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_tweet_id,brand_created_at,brand_response
539077,244990,Sat Dec 02 14:05:42 +0000 2017,"@GloCare @117627 A week now, your network in Iseyin, Oyo State has been ATROCIOUS to put it MILDLY! Disappearing network!!! I guess you just employed Houdini but we subscribers didn't get the memo. Do remember to copy us when it returns! #MediocreGloNetwork @117626",539076,Sat Dec 02 14:25:57 +0000 2017,"@244990 @117627 @117626 Sincere apologies. kindly provide your number, device type, exact location with landmark, error message, signal you can see and alternate number. AP"
2724779,264735,Mon Nov 20 12:30:11 +0000 2017,"@GloCare @117627 Stop emphasizing with mee. I've provided you with the number - +234 807 683 5245 - not fewer than 3times. Afterwards, you still resubscribed mee to the unsolicited services and deducted my money. @104856 @117626 @7475 @104937 @120330 @127588 @562660",2724781,Mon Nov 20 12:33:06 +0000 2017,@264735 @117627 The VAS on the line has been deactivated. Sens STOP to 2442 for full VAS DND.  TT
1972746,584299,Wed Nov 01 08:21:05 +0000 2017,"@GloCare please if I recharge my jumbo SIM, for existing subscriber , will my money be taking or will it still remain on my main balance",1972745,Wed Nov 01 10:13:00 +0000 2017,"@584299 Hello Kommanda, the amount recharged will be credited in your main account. Bonus will be credited in a different account. Thank you. SO"
443634,747758,Sat Nov 18 16:53:43 +0000 2017,"@GloCare Network fluctuating like forever(on/off)
Location: awedele street,bank road,adoekiti.",2651069,Sat Nov 18 17:30:19 +0000 2017,"@747758 Kindly send in your number,for escalation. Our sincere apologies about that. CA"
2463673,705173,Wed Nov 15 07:43:46 +0000 2017,"@GloCare pls de glo mast in agingi rukuba Rd of bassa LGA of plateau state went off  since a week now and de pple of that community have been in suffering. There is no mtn, 9mobile and airtel services there. Due to the recent killings in de region, it is very dangerous to stay",2463674,Wed Nov 15 09:06:28 +0000 2017,@705173 We sincerely apologize for the inconvenience. We assure you the issue affecting your location is being worked on. We implore you to please bear with us. Thank you. GA
469794,222686,Fri Dec 01 06:06:31 +0000 2017,"@GloCare i did not apply for any #service. Dear User, your billing for Glo Gamestore has failed due insufficient balance. Please recharge",469792,Fri Dec 01 07:13:10 +0000 2017,@222686 Kindly provide your phone number for assistance. ET.
1931789,372400,Sat Oct 28 13:46:04 +0000 2017,@GloCare how does one transfer credit from one phone to another?,1931788,Sat Oct 28 17:00:53 +0000 2017,"@372400 Hello Omoniyi, dial *131*Number*Amount* PIN# to share credit. To change PIN dial *132*00000*New PIN*New PIN# Default PIN is 00000. TT"
1825267,507063,Sun Nov 26 07:34:10 +0000 2017,@GloCare My credit balance is 100 naira doesn’t show me anything concerning bumpa bonus,1825266,Sun Nov 26 07:35:38 +0000 2017,@507063 for bumpa bonus dial #122*2# ~ OO
793275,307683,Thu Oct 12 13:08:49 +0000 2017,"@GloCare, i can't browse with Glo, but same setting, is what am browsing on Mtn, we love ur network more than other, kindly do something pls",793272,Thu Oct 12 13:15:38 +0000 2017,"@307683 Please confirm the apn, username and password. Also revert with your number and exact location. SO"
148468,149799,Fri Nov 24 14:00:29 +0000 2017,@GloCare @117627 YALL SOLD ME DREAMS WHEN I FIRST GOT THE 4G NETWORK. SMH,148467,Fri Nov 24 14:45:46 +0000 2017,"@149799 @117627 Hello Iwobi, please call the 4G help desk on 400 for troubleshooting assistance with the issue. We apologize.  TT"
