golden_id,customer_text,draft_reply,human_correctness,human_groundedness,human_helpfulness,human_safety,human_conciseness,human_overall_score,human_reason,reviewer_type,human_review_completed
G007,"@GloCare please you guys should help me check my line as I was awarded 500mb after I recharged but I'm been deducted from my Normal data subscription which really isn't suppose to be so, this is the number 08058976647",kindly provide your number for a quick check to assist with your data subscription concern.,4,3,4,5,5,4,Relevant request for the number for an account-specific data concern; helpful enough but does not give an immediate troubleshooting step.,human_oriented_independent_evaluator,false
G008,"@GloCare I hav a lot of data&amp;call bonus,but's still charged frm my main balance Wen calln/browsn. &amp; #124#, #124*1# no longa work 08113877114","Evening, you have exhausted your data bonus. The voice bonus is only valid for Glo to Glo calls. For assistance with your bonus or service, please provide your number so we can assist you further.",3,2,3,4,4,3,Addresses the bonus issue but makes a specific exhaustion claim and does not directly resolve the failed code problem.,human_oriented_independent_evaluator,false
G020,@GloCare it has become obvious dat my units are taken illegally. I recharged 300 last week never called for even a minute but yesterday...,"Afternoon Daytonye, kindly provide your mobile number so we can assist you with your concern.",4,3,4,5,5,4,Appropriately asks for the number for an account-specific deduction concern without pretending to have checked the account.,human_oriented_independent_evaluator,false
G021,"@GloCare, i can't browse with Glo, but same setting, is what am browsing on Mtn, we love ur network more than other, kindly do something pls","Please confirm your APN, username, and password. Also, kindly share your number and exact location so we can assist you better.",4,3,4,5,5,4,"Acknowledges the concern and requests relevant account information, though it remains fairly generic.",human_oriented_independent_evaluator,false
G031,"@GloCare Would he/they refund the airtime?  I have used the live chat portal, still on Twitter, now Mail. If @GloCare  cannot provide the needed​ assistance, i think you should just tell me. I'm new on the network. I wouldn't want​ to waste my time and effort chasing after the wind.","Airtime refunds are not currently available. We apologize for the inconvenience. If you have a specific plan or transaction in mind, please share details so we can assist further.",2,2,2,4,4,2,Makes a blanket refund statement without enough support and does not provide a clear next step for the unresolved complaint.,human_oriented_independent_evaluator,false
G032,@GloCare  okk. I've sent in my complaint,May we have your number and the nature of your complaint?,3,3,3,5,4,3,"Requests relevant details, but is generic and does not fully respond to the customer's statement that a complaint was already submitted.",human_oriented_independent_evaluator,false
G033,@GloCare Yet to receive my N100. Pls refund!,We apologize for the delay in receiving your N100. Our team is currently working on this issue. Please bear with us. Thank you.,2,2,2,3,4,2,"Says the issue is being worked on, implying an internal action that the system cannot establish, while offering little actionable help.",human_oriented_independent_evaluator,false
G034,@117627 @GloCare Please confirm if 08118280516 is 4G simcard,4G is active on the sim card.,1,1,1,1,5,1,"Claims the SIM is active on 4G, which is an unsupported current account/service-state assertion.",human_oriented_independent_evaluator,false
G037,@GloCare please is glo me2u not functioning again? I want to transfer credit,Could you please share the error message you receive when trying to transfer credit? This will help us assist you better. 🙏,5,4,5,5,5,5,Focused and useful: asks for the specific error and keeps attention on the transfer problem.,human_oriented_independent_evaluator,false
G038,@GloCare Though 2G can't be reached.... I can be reached on my 3G phone on 08053355365,The issue has been escalated for resolution. Kindly provide your exact location and device type for faster assistance.,1,1,1,1,4,1,Claims escalation to another team even though the system has no demonstrated live escalation capability.,human_oriented_independent_evaluator,false
