case_id,query,query_intent,query_confidence,alignment_count,retrieved_1_intent,retrieved_1_confidence,retrieved_1_distance,retrieved_1_customer_message,retrieved_1_response,retrieved_1_tweet_id,retrieved_1_relevance,retrieved_1_review_reason,retrieved_2_intent,retrieved_2_confidence,retrieved_2_distance,retrieved_2_customer_message,retrieved_2_response,retrieved_2_tweet_id,retrieved_2_relevance,retrieved_2_review_reason,retrieved_3_intent,retrieved_3_confidence,retrieved_3_distance,retrieved_3_customer_message,retrieved_3_response,retrieved_3_tweet_id,retrieved_3_relevance,retrieved_3_review_reason,overall_review
1,@GloCare 08075711407. So what happens to N90 u guys just took 😡😡😡😡😡,sim_or_device_issue,0.1315166772814063,1,sim_or_device_issue,0.1315166772814063,3.898436207096928e-13,@GloCare 08075711407. So what happens to N90 u guys just took 😡😡😡😡😡,"@220603 Hello Michael, the VAS has been deactivated and a refund is being processed. Kindly be patient.   TT",445911,relevant,Same unauthorized charge/VAS issue and directly useful resolution.,data_plan_issue,0.1182024850722804,0.7507433295249939,"Dear @GloCare your CANCER  has been renewed for N90 for One Month. To deactivate SMS my N90 to my dial. Thank you.

*are u people mad!!!! *","@220603 Morning Michael, kindly provide your mobile number for assistance to deactivate the NAS subscribed on the line.  TT",445912,relevant,Same N90 VAS renewal/deactivation problem; closely applicable evidence.,non_actionable_or_context_required,0.1177153351873627,0.7604261040687561,@GloCare I am yet to receive my N100,"@165602 Hello Folasade, 
We apologize for the inconvenience, our engineers are working on the issue. Thank you. UO.",209547,partial,"Also concerns money/airtime not received, but not the same deduction/VAS case.",good
2,"@GloCare evening how can migrate to bumper from jumbo?, ×200# not working and I don't mind d 100 charges",account_or_general_support,0.1597555349888059,1,account_or_general_support,0.1597555349888059,3.1843153331170826e-13,"@GloCare evening how can migrate to bumper from jumbo?, ×200# not working and I don't mind d 100 charges",@139874 Kindly dial *100*10*1# to migrate to  Glo BUMPA. AP,107489,relevant,Same tariff migration request and provides the migration code.,data_plan_issue,0.1381980451892784,0.8748965263366699,"@GloCare good morning, I need to change my tariff plan to Glo Bumper, pls help","@122578 Hello Aremu, dial *100*10*1# for Bumpa. SO",29891,relevant,Same Glo Bumper migration problem and actionable solution.,sim_or_device_issue,0.1491514308912224,0.8907380104064941,"@GloCare hi, i need to migrate my sim to any of your tariff that allow me spend less on calls. Just got a new jumbo sim card nd the call charges is just so annoying. Help please.",@632516 Good day. You should consider GBAM PLUS . More details on the plan here: https://t.co/bPGJMvqz9n. ^GM,2152499,relevant,Tariff migration/call-cost problem is directly related and offers an alternative plan.,good
3,@GloCare Okk,non_actionable_or_context_required,0.2238217239569279,1,non_actionable_or_context_required,0.2238217239569279,5.586536008100884e-13,@GloCare Okk,@350033 You're welcome. FA,1371026,relevant,Exact same acknowledgement/context with a suitable closing response.,sim_or_device_issue,0.1392650844677627,0.2329346537590026,@GloCare OK,@574883 Okay. Thank you. AP,1931847,relevant,Same acknowledgement message and similar customer-service response.,sim_or_device_issue,0.1392650844677627,0.2329346537590026,@GloCare Ok,@123325 Yes please. ET,2178908,relevant,Same acknowledgement intent; response is still relevant evidence.,good
4,@GloCare how can I make my sim 4G compliant?,account_or_general_support,0.1452385848939914,1,account_or_general_support,0.1452385848939914,2.2572591853401575e-13,@GloCare how can I make my sim 4G compliant?,"@394308 Good evening, please visit any Glo outlet with the sim for swap. N100 for sim swap. Thank you. SO",1166182,relevant,Same 4G SIM upgrade/compliance problem and gives the swap process.,sim_or_device_issue,0.1867348518184175,0.4284065663814544,"Yo @GloCare how do I get a 4G LTE SIM 

I already have a SIM.","@324025 Hello Issa, kindly visit he Gloworld shop with your present SIM, N100 and a valid ID for a 4G SIM replacement.  TT",859284,relevant,Directly about replacing an existing SIM with a 4G SIM.,data_plan_issue,0.1267055499551569,0.4500516653060913,@GloCare Upgrading to 4g sim... is the sim only meant for 4g? Or switch to 3g if I'm in a no 4g coverage area?,"@207618 The plans have been unified,which means both 3G and 4G sim get to use it. All you need do is set your network mode on your device. CA",2726214,relevant,Explains 4G/3G SIM usage and network-mode behavior after upgrade.,good
5,"@GloCare you guys have being deducting my money for no reason. Glo, fear God o",data_plan_issue,0.1144316729332304,1,data_plan_issue,0.1144316729332304,4.116041275176175e-13,"@GloCare you guys have being deducting my money for no reason. Glo, fear God o",@372397 Good evening Samsondeen. May we have your cellphone number to run a check on your line? FA,1069653,relevant,Same unexplained airtime deduction complaint and asks for line details.,data_service_issue,0.130572502423826,0.1328575909137725,@GloCare You guys are still deducting my money oooo,"@372397 Morning Samsondeen, kindly provide your mobile number for checks and assistance with the issue reported.  TT",1069652,relevant,Same repeated money deduction issue with a nearly identical complaint.,non_actionable_or_context_required,0.1171812217469179,0.2933521866798401,@GloCare you people should please forgive me and stop deducting my money anyhow,@811249 Hello Hal. We apologize. Please provide your mobile number for checks and assistance.  TT,2933828,relevant,Same unexplained deduction complaint and requests verification.,good
6,@GloCare I mistaken over scratch my airtime card and I need to get the #500 card back. The serial number is 9504766,recharge_or_airtime_issue,0.1233890813973998,1,recharge_or_airtime_issue,0.1233890813973998,1.797201032742099e-13,@GloCare I mistaken over scratch my airtime card and I need to get the #500 card back. The serial number is 9504766,"@257780 Hello Kehinde, kindly call 121 help desk or visit the Gloworld shop for assistance with the over scratched recharge card. We apologize.  TT",584016,relevant,Same over-scratched recharge card problem and gives the support route.,non_actionable_or_context_required,0.1287868671382159,0.6423165798187256,"Hey @GloCare , I over scratched this serial No : __credit_card__  #500. Could you help please","@483362 We apologize about that, but we don't handle over scratched card issue(s) online. Kindly call 121 for assistance.Thank you.EE",1565783,relevant,Same over-scratched ₦500 recharge-card issue.,non_actionable_or_context_required,0.1271425898259713,0.6933280825614929,"@117627 @GloCare hi, I got my recharge card pin damaged but could still read clearly its serial number. I need your help loading the card. Thanks",@236389 @117627 Hello Kola. Please call 121 help desk or visit the Gloworld shop for assistance with the recharge card. Stay Unlimited!  TT,507066,relevant,Same damaged recharge PIN/serial-number recovery problem.,good
7,@GloCare pls o... My glo number stopped working today.. Don't know why.. It's said I can no longer use it..,sim_or_device_issue,0.1275558607106152,1,sim_or_device_issue,0.1275558607106152,2.396387938346373e-13,@GloCare pls o... My glo number stopped working today.. Don't know why.. It's said I can no longer use it..,"@208125 Afternoon Nathan, kindly provide your mobile number for checks and assistance.  TT",389272,relevant,Same Glo number stopped-working/line access problem.,network_issue,0.1292063998446012,0.4110351204872131,@GloCare can't make calls with my glo number 09057930070 since yesterday. Kindly help rectify the issue. Thanks,"@562452 Hello Olayinka,we apologize for the inconveniences experienced.The issue is being worked on, will be resolved shortly.Please bear with us.SO",1885071,relevant,Same inability to use the Glo number for calls.,data_service_issue,0.1134478356448761,0.4223236739635467,"@GloCare I called d customer care. I was told it could only b used to call glo to glo line.
Till now I can't use it.
What happened? 
Pls help Thanks","@241944 Evening, kindly provide your number for a quick check. AP",1917340,partial,"Related inability to use the line, but the underlying restriction/context differs.",good
8,"@117627 @GloCare Few hours. Three hours is few hours. Please define your few hours, give it a number so the world knows how long it takes to do a Glo sim swap. Thank you",account_or_general_support,0.1330580011988545,1,account_or_general_support,0.1330580011988545,2.1020716363309017e-13,"@117627 @GloCare Few hours. Three hours is few hours. Please define your few hours, give it a number so the world knows how long it takes to do a Glo sim swap. Thank you",@264152 The info supplied by my colleague is valid. Please give it some more time. AP,2840650,relevant,Same SIM-swap case and directly addresses the waiting-time complaint.,network_issue,0.1202543989261236,0.4755623638629913,"@117627 office at Alagomegi Yaba. It takes average of 35mins to attend to each subscriber that comes in for a SIM swap. Your officers are not prompt @GloCare 
So much customers getting impatient for hours. BAD!",@357282 @117627 We offer our apologies about that. ^GM,2893668,relevant,Same SIM-swap service delay at an outlet.,sim_or_device_issue,0.1299043249399351,0.5430832505226135,"@117627 @GloCare Did sim swap since yesterday and it's more than 24hours, the sim is still not working. Poor service provider,bad customer service.","@693917 @117627 Apologies Viktorious, kindly provide the affected number. GA",2414041,relevant,Same SIM-swap issue with a non-working replacement SIM.,good
9,"@GloCare ,pls I have a situation o",data_plan_issue,0.1516421320717994,1,data_plan_issue,0.1516421320717994,4.332857857225481e-13,"@GloCare ,pls I have a situation o","@192430 Afternoon Kingsley, how may we help you?  TT",320788,partial,Generic request for help; useful only because the query itself gives no specific issue.,sim_or_device_issue,0.1347523828201139,0.4259451329708099,@GloCare what can I do?,"@285192 Hello Olaide, kindly provide your mobile number for checks and assistance.  TT",691320,partial,Generic assistance request with no clear problem match.,non_actionable_or_context_required,0.14053222045972,0.4776473343372345,@GloCare I desperately need yr assistance,"@440560 Good day, Me we know what you are experiencing? IQ",1377021,partial,Also generic assistance/context-seeking; not specific to the predicted data-plan issue.,mixed
10,@GloCare the glo jumbo package bonus can't be used for calls aside glo numbers? Cause I have recharged 1k and they gave me 5k bonus,bonus_or_promotion_issue,0.1397271361997065,1,bonus_or_promotion_issue,0.1397271361997065,1.742255699519607e-13,@GloCare the glo jumbo package bonus can't be used for calls aside glo numbers? Cause I have recharged 1k and they gave me 5k bonus,"@654886 You can not call mtn numbers and numbers in your friends and family package with the bonus,bonus is meant for glo to glo calls only. AP",2247234,relevant,Exact same Jumbo bonus usage question with a direct answer.,sim_or_device_issue,0.1180535425326433,0.4782546758651733,@GloCare which Glo plan gives 500# Glo calls and 50mb on 100 recharge. Glo usually give me these bonuses but it has stopped. what can I do,"@233512 Good day Kolade. Its Glo JUMBO. You can dial #100# to verify if your line is still on it,and if otherwise,dial *224# to move in. ^GM",2896542,relevant,Same Jumbo bonus problem and explains eligibility/usage.,sim_or_device_issue,0.1090858959545974,0.4982877969741821,@GloCare is the jumbo sim bonus for only Glo to Glo? I cant call other networks,@436228 Evening Charles. Yes it is for Glo to Glo calls only.  TT,1356231,relevant,Same Jumbo bonus restriction on calling other networks.,good
11,@GloCare Will I be charged for streaming?,non_actionable_or_context_required,0.1307274998024006,1,non_actionable_or_context_required,0.1307274998024006,2.369688646697288e-13,@GloCare Will I be charged for streaming?,"@146611 Hello Demian, the streaming will be from your data plan if you are subscribed. Otherwise it will be from the PAYU data at N1 per KB.  TT",142625,relevant,Directly answers whether streaming consumes the data plan.,data_plan_issue,0.1133468242572129,0.632057785987854,@GloCare can still subscribe for Internet with my recharge?,"@206428 Hello Temitope, please recharge and the dial *777# to subscribe for data.  TT",381275,relevant,Related data-subscription/Internet usage question.,data_plan_issue,0.1629022156387282,0.6519161462783813,@GloCare If I have data subscription and I optioned in for the Glo iflix trial will the streaming be free or from my data balance,"@295737 Yes , iflix free for first 60 days.EE",2159604,relevant,Very close streaming-versus-data-balance question.,good
