golden_id,customer_text,golden_intent,predicted_intent,confidence,golden_escalation_expected,actual_decision,draft_reply,intent_error,escalation_false_positive,unsupported_claim_signal,generic_reply_signal,historical_contamination_signal
G001,"@GloCare so I recharged yesterday and I didn't get my usual bumba bonus, please why, 08117626261",bonus_or_promotion_issue,sim_or_device_issue,0.1304918597021175,no,human,"The number you provided is on Glo Bounce, not Glo Bumpa. Please confirm if you meant Glo Bumpa or Glo Bounce. OO",True,True,False,False,False
G002,@glocare pls I migrated to Glo jumbo and recharged. I've been given bonus but couldn't use it to call. help,bonus_or_promotion_issue,bonus_or_promotion_issue,0.1219762610160369,yes,human,Kindly provide your number so we can assist you with your bonus usage. Thank you!,False,False,False,True,False
G003,"@GloCare please if I recharge my jumbo SIM, for existing subscriber , will my money be taking or will it still remain on my main balance",data_plan_issue,data_issue,0.1316598795501994,no,human,"Hello, the amount recharged to your Jumbo SIM will be credited to your main account. Thank you.",True,True,False,False,False
G004,"@GloCare  Could you please send me the steps to recharge my Glo numbers using Ecobank Bank, Wuse 2 Abuja, Nigeria.",recharge_or_airtime_issue,sim_or_device_issue,0.121996477869675,no,human,Please visit any of the following links to recharge your Glo numbers using Ecobank: or or Thank you.,True,True,False,False,False
G005,"@GloCare pls i don't know how this pre-loaded airtime works,  cus I bought a new sim and recharged but didn't see any bonus",bonus_or_promotion_issue,sim_or_device_issue,0.1185135818819732,no,human,"Hello, I bought a new SIM and recharged but didn't see any bonus. Could you clarify how the pre-loaded airtime bonus works and how to unlock it?",True,True,False,False,True
G006,"@GloCare,@117627, I've lodged complain that I've not been able to call out except the customer care line, and I can't recharge on my phone",voice_or_line_issue,unauthorized_charge_or_vas,0.1175904315539611,yes,human,"Hello, we apologize for the inconvenience you're experiencing with making calls and recharging your line. The issue is being investigated and will be resolved shortly. Please bear with us.",True,False,False,False,False
G007,"@GloCare please you guys should help me check my line as I was awarded 500mb after I recharged but I'm been deducted from my Normal data subscription which really isn't suppose to be so, this is the number 08058976647",bonus_or_promotion_issue,unauthorized_charge_or_vas,0.1382148149571091,yes,human,kindly provide your number for a quick check to assist with your data subscription concern.,True,False,False,True,False
G008,"@GloCare I hav a lot of data&amp;call bonus,but's still charged frm my main balance Wen calln/browsn. &amp; #124#, #124*1# no longa work 08113877114",bonus_or_promotion_issue,unauthorized_charge_or_vas,0.117509800190683,yes,human,"Evening, you have exhausted your data bonus. The voice bonus is only valid for Glo to Glo calls. For assistance with your bonus or service, please provide your number so we can assist you further.",True,False,False,True,False
G009,@232561 @117627 @GloCare UPDATE!!! They've Deducted N10 From The 980 Again.. N1k Airtime Just This Morning Now Down To N970.. https://t.co/LWukklgbxv,unauthorized_charge_or_vas,non_actionable_or_context_required,0.1347002090734924,yes,human,We apologize about the deduction. Kindly provide your number so we can assist you further.,True,False,False,True,False
G010,"@GloCare My sister recharged and subscribed for glo data plan of N1000 on the 10th, airtime value was deducted but haven't received data paid for, pls resolve asap.",data_plan_issue,data_plan_issue,0.1416620475222619,yes,human,"Sincere apologies, may we have the affected number and device type?",False,False,False,False,False
G011,"@117627 @659903 Since @GloCare won't take my calls please why is #100 taken from my account daily when I have not subscribed for data or any glo services. I bought this line on Thursday 9th Nov., 2017",unauthorized_charge_or_vas,unauthorized_charge_or_vas,0.1329021163897026,yes,human,Kindly send in your number for a check.,False,False,False,False,False
G012,"@GloCare @117627 Number-07052632663
Device type- infinix hot note x551
Location- Akwa Ibom state university, Ikot Akpaden, Mkpat enin, Akwa ibom state
Error message- emergency
Signal- No signal
Alternate numbers- 08128059629...08147428657",network_issue,network_issue,0.1510974180813801,yes,human,Sincere apologies for the inconvenience. Your complaint has been escalated and you will receive a text when the issue is resolved. Thank you.,False,False,False,False,False
G013,Lol prople dey para oo. Hahhahahahaaha. Oya @GloCare kindly stop any VAS service and callertunes oo. They have abused me for being too patient with u. I asked a question and yet to get an answer. How can i get my number across without dropping it on timeline? https://t.co/z5KKf4KEq9,unauthorized_charge_or_vas,data_plan_issue,0.1167301305817116,yes,human,May we have your cellphone number so we can assist you with your request?,True,False,False,False,False
G014,@GloCare I can't browse check your network,data_issue,network_issue,0.1476865904875112,yes,human,Could you please provide your location and mobile number so we can assist you better?,True,False,False,True,False
G015,@GloCare Why am I charged for airtime not used?,recharge_or_airtime_issue,non_actionable_or_context_required,0.1194470300222389,yes,human,Please provide your mobile number so we can investigate your airtime charges and assist you better.,True,False,False,True,False
G016,@GloCare old how can a customer check his data account? Thanks,data_plan_issue,non_actionable_or_context_required,0.1315622605616841,no,human,"You can check your data balance by dialing *127*0# or sending ""INFO"" to 127.",True,True,False,False,False
G017,@GloCare 07057789957....pls check why the money I recharged for auto renew was deducted without any apparent msg on d deduction,unauthorized_charge_or_vas,unauthorized_charge_or_vas,0.136971611127122,yes,human,"Please confirm the amount recharged, method of recharge, and date so we can investigate further. Thank you.",False,False,False,False,False
