failure_mode,golden_id,customer_text,golden_intent,predicted_intent,confidence,golden_escalation_expected,actual_decision,draft_reply
low_confidence_prediction,G090,@GloCare I have recharge but can't access my bonuses. Why?,bonus_or_promotion_issue,recharge_or_airtime_issue,0.1110197277506898,no,human,Kindly dial #122*35# to check your bonus access. Thank you.
low_confidence_prediction,G062,"@GloCare Hello,
I just cleared my BMC account of #200 but few mins later I was notified again to still be owing.
Pls can you run a check",recharge_or_airtime_issue,sim_or_device_issue,0.1114285554315512,yes,human,Kindly send in your number for a check.
low_confidence_prediction,G060,"@GloCare please I made a recharge of #1500,yesterday only to see #95 as my balance",recharge_or_airtime_issue,non_actionable_or_context_required,0.1121389821521337,yes,human,"Good morning, may we have your number for clarification on the discrepancy in your balance? Thank you."
low_confidence_prediction,G113,"Hello @gloCare 
I don't receive SMS on my line. Please kindly correct",voice_or_line_issue,non_actionable_or_context_required,0.1127212880116215,yes,human,"Try restarting your phone without the SIM, then reinsert the SIM and send a test message to your line. If the issue continues, please reply with your line number so we can assist further."
low_confidence_prediction,G151,"@GloCare Again where is my N20?? Recharged 3k, you auto renewed a plan I didn't want and my balance mysteriously went down from N2001 to N1981",unauthorized_charge_or_vas,account_or_general_support,0.1129030743245417,yes,human,"Your auto renewal was cancelled on the 15th, but a plan was renewed on the 14th. Please confirm if this renewal was intended."
low_confidence_prediction,G092,@GloCare That's not what I have problem with please. Fix this deductions thing.,unauthorized_charge_or_vas,unauthorized_charge_or_vas,0.1141880478633443,yes,human,Please provide your mobile number so we can assist you with the deductions issue.
low_confidence_prediction,G091,"@GloCare i did not apply for any #service. Dear User, your billing for Glo Gamestore has failed due insufficient balance. Please recharge",unauthorized_charge_or_vas,recharge_or_airtime_issue,0.1161660981448872,no,human,Kindly provide your phone number so we can assist you further. ET.
low_confidence_prediction,G013,Lol prople dey para oo. Hahhahahahaaha. Oya @GloCare kindly stop any VAS service and callertunes oo. They have abused me for being too patient with u. I asked a question and yet to get an answer. How can i get my number across without dropping it on timeline? https://t.co/z5KKf4KEq9,unauthorized_charge_or_vas,data_plan_issue,0.1167301305817116,yes,human,May we have your cellphone number so we can assist you with your request?
low_confidence_prediction,G141,@GloCare dailed it and still d same thing here is my number 08074640384,voice_or_line_issue,unauthorized_charge_or_vas,0.1169728625278253,yes,human,"Hello Troy, the bonus has been credited on your line. Please initiate a chargeable service and then dial the code to check again."
low_confidence_prediction,G038,@GloCare Though 2G can't be reached.... I can be reached on my 3G phone on 08053355365,network_issue,network_issue,0.117460761164711,yes,human,The issue has been escalated for resolution. Kindly provide your exact location and device type for faster assistance.
intent_misclassification,G139,@GloCare My number is 08118875122,account_or_general_support,voice_or_line_issue,0.1985695765741968,yes,human,The VAS on your line has been deactivated. You may send STOP to 2442 for full VAS DND.
intent_misclassification,G087,@GloCare @170399 what sort of network is this? over 7hrs I've been trying to subscribe. network engineers have been working since 6am,data_plan_issue,network_issue,0.1604817867575126,yes,human,"We understand your frustration. Could you please share your exact location, device type, and any error message you've received? This will help us assist you better. ET"
intent_misclassification,G120,"@GloCare please guys, data browsing just stopped at egbeda/idimu/ikotun area . Alimosho Lagos. Full network bars but no browsing",data_issue,network_issue,0.158197216595384,yes,human,"Work is ongoing to resolve the data browsing issue in Egbeda/Idimu/Ikotun, Alimosho, Lagos. We appreciate your patience while our engineers address it."
intent_misclassification,G061,@GloCare @232556 @117627 Good Evening. Please help to scan my line and remove what do deduct my credit. Thank,unauthorized_charge_or_vas,account_or_general_support,0.1552076277207307,yes,human,Kindly send in your number so we can assist you. Thank you.
intent_misclassification,G072,"@GloCare, ""Connection problem or invalid mmi code"" is what I see as I tried recharging 08072006674. Is *123*pin# no longer working? Thanks",recharge_or_airtime_issue,unauthorized_charge_or_vas,0.1550660353624509,no,human,We apologize for the inconvenience. The *123*pin# code is still valid. Please call 123 and follow the voice instructions to recharge.
intent_misclassification,G142,"@GloCare The network is so irritating, I think it’s high time to swap the network",sim_or_device_issue,network_issue,0.1482553623427199,yes,human,"Hello, to better assist you, could you please share your mobile number and a description of the specific network issue you're experiencing?"
intent_misclassification,G014,@GloCare I can't browse check your network,data_issue,network_issue,0.1476865904875112,yes,human,Could you please provide your location and mobile number so we can assist you better?
intent_misclassification,G048,@145588 @7693 @117627 @GloCare Please to inform you @117627 &amp; @145588 that your data connectivity in Apete by Yidi Road is worst that has imprisoned me and outcast my update on news as the data network needs 2b improve in d area please to allow me enjoy my data,network_issue,data_plan_issue,0.147177435456593,yes,human,We apologize for the poor data connectivity in Apete by Yidi Road. We are aware of the issue and our network engineers are working to resolve it. Kindly bear with us as we work to improve the service. EE
intent_misclassification,G056,@GloCare This is the sub I did (the first one) only to get 1636mb. Please! Whats up.?.?! https://t.co/A50adS4T5F,data_plan_issue,unauthorized_charge_or_vas,0.1458338957080532,yes,human,Kindly confirm when your previous plan expired so we can assist you better.
intent_misclassification,G127,@GloCare glo 09054590520. The last time I sub.  The message I received is that my data expires 2018. Why are yiu deducting my money na.,data_plan_issue,data_issue,0.145655041254835,yes,human,"Hello Sandra, we apologize for the confusion. Your data was exhausted today, and the charge was applied accordingly. For clarity, may we have your number so we can assist further?"
escalation_false_positive,G001,"@GloCare so I recharged yesterday and I didn't get my usual bumba bonus, please why, 08117626261",bonus_or_promotion_issue,sim_or_device_issue,0.1304918597021175,no,human,"The number you provided is on Glo Bounce, not Glo Bumpa. Please confirm if you meant Glo Bumpa or Glo Bounce. OO"
escalation_false_positive,G003,"@GloCare please if I recharge my jumbo SIM, for existing subscriber , will my money be taking or will it still remain on my main balance",data_plan_issue,data_issue,0.1316598795501994,no,human,"Hello, the amount recharged to your Jumbo SIM will be credited to your main account. Thank you."
escalation_false_positive,G004,"@GloCare  Could you please send me the steps to recharge my Glo numbers using Ecobank Bank, Wuse 2 Abuja, Nigeria.",recharge_or_airtime_issue,sim_or_device_issue,0.121996477869675,no,human,Please visit any of the following links to recharge your Glo numbers using Ecobank: or or Thank you.
escalation_false_positive,G005,"@GloCare pls i don't know how this pre-loaded airtime works,  cus I bought a new sim and recharged but didn't see any bonus",bonus_or_promotion_issue,sim_or_device_issue,0.1185135818819732,no,human,"Hello, I bought a new SIM and recharged but didn't see any bonus. Could you clarify how the pre-loaded airtime bonus works and how to unlock it?"
escalation_false_positive,G016,@GloCare old how can a customer check his data account? Thanks,data_plan_issue,non_actionable_or_context_required,0.1315622605616841,no,human,"You can check your data balance by dialing *127*0# or sending ""INFO"" to 127."
escalation_false_positive,G021,"@GloCare, i can't browse with Glo, but same setting, is what am browsing on Mtn, we love ur network more than other, kindly do something pls",data_issue,network_issue,0.1370174447761143,no,human,"Please confirm your APN, username, and password. Also, kindly share your number and exact location so we can assist you better."
escalation_false_positive,G023,@GloCare network been switching off &amp; on. It has been completely off for a while now &amp; I can't even call customercare pls help 07053337908,network_issue,network_issue,0.1398190547880513,no,human,"Kindly select 3G only on your device settings for better connection. Also, to assist further, please share your number, device type, and exact location with a landmark."
