golden_id,customer_text,golden_intent,predicted_intent,confidence,golden_escalation_expected,actual_decision,draft_reply
G014,@GloCare I can't browse check your network,data_issue,network_issue,0.1476865904875112,yes,human,Could you please provide your location and mobile number so we can assist you better?
G021,"@GloCare, i can't browse with Glo, but same setting, is what am browsing on Mtn, we love ur network more than other, kindly do something pls",data_issue,network_issue,0.1370174447761143,no,human,"Please confirm your APN, username, and password. Also, kindly share your number and exact location so we can assist you better."
G073,"@GloCare Cell no- 07051883771; Location- Surulere, Lagos; Device name- BlackBerry: Device model- Q10; APN- gloflat; username &amp; password-flat",data_issue,network_issue,0.1270875777566936,yes,human,"Gabriel, we apologize for the inconvenience. Your line is active, but we recommend verifying your data subscription status. If it has expired, please subscribe and we’ll assist further. Thank you."
G119,"@GloCare seems you guys now run shift with a data service I paid for. At night no network, in the morning it shows face.",data_issue,network_issue,0.1435689927036692,yes,human,"We apologize for the inconvenience. To better assist you, could you please share your mobile number and location? FA"
G120,"@GloCare please guys, data browsing just stopped at egbeda/idimu/ikotun area . Alimosho Lagos. Full network bars but no browsing",data_issue,network_issue,0.158197216595384,yes,human,"Work is ongoing to resolve the data browsing issue in Egbeda/Idimu/Ikotun, Alimosho, Lagos. We appreciate your patience while our engineers address it."
G130,"@GloCare No browsing network for us here, and our data subscription is always like a waste.. 
U can carry out a survey on this.. Form itoki to ifo",data_issue,network_issue,0.142021496281043,yes,human,"Morning, may we know your phone number, exact location with landmarks, and the specific error or issue you're experiencing? This will help us assist you better."
G047,@117627  Data service is just too poor. @GloCare please tell me how are you grandmasters of data. This tweet was sent using @5566 network,data_issue,data_plan_issue,0.1423259331656933,yes,human,"We sincerely apologize for the inconvenience. To better assist you, could you please share your phone number, device type, and exact location? This will help us investigate the data service issue for you."
G078,"@GloCare @117627 
I load card and subscribed u telling me e never work that all these time am using my money de browse ? i DM u guys ‘ una de do me like hausa girl una no even wan pick my calls 
No be by force to use Glo oo 
God punish all of una 🚶🏿✌🏿
Hi @118424 🤚🏿",data_issue,data_plan_issue,0.1205425597832789,yes,human,Could you please provide your mobile number so we can investigate your subscription and data plan issue? 🙏
G079,"@GloCare if a friend share his data with me ,does it indirectly means I share mine with him too ?",data_issue,data_plan_issue,0.1410426134577522,no,human,"No, if a friend shares their data with you, it does not mean you're sharing your data with them."
G080,How can I have 4095mb of glo data as at 13th November and today 22nd I'm left with only 200mb haba @GloCare which kind 419 be this?,data_issue,data_plan_issue,0.1203495791707558,yes,human,We kindly request you monitor your data usage. You may want to check if you have any number(s) sharing data with you.
G132,The worst network you could ever subscribe to its data is @117627 @GloCare @117626. You have data but you can't browse.,data_issue,data_plan_issue,0.1307559983187421,yes,human,"We apologize for the inconvenience. To assist you better, could you please share your phone number, exact location, and device type? This will help us investigate your data experience."
G040,"@GloCare I have done all these your device tyre ,off and on,restart your device and change to 3G only all these these did not work...even one your guys told me the fault is from your end .common its talking long for christsake",network_issue,data_plan_issue,0.129202563308913,yes,human,"Hello Irohvincent, to better assist you, could you please share your phone number, the exact error message (if any), your location with landmarks, and the type of device you're using? This will help us investigate further. Thank you."
G043,@GloCare No improvement yet pls.,network_issue,data_plan_issue,0.1397180067562817,yes,human,"Our engineers are still working on the issue. To better assist you, could you please share your number, device type, exact location with landmark, and any error messages you've seen? Thank you."
G048,@145588 @7693 @117627 @GloCare Please to inform you @117627 &amp; @145588 that your data connectivity in Apete by Yidi Road is worst that has imprisoned me and outcast my update on news as the data network needs 2b improve in d area please to allow me enjoy my data,network_issue,data_plan_issue,0.147177435456593,yes,human,We apologize for the poor data connectivity in Apete by Yidi Road. We are aware of the issue and our network engineers are working to resolve it. Kindly bear with us as we work to improve the service. EE
G105,"@GloCare Please, I want to complain about the poor service in my area. If I put on 3G service it shows emergency calls only.  PLEASE HELP!",network_issue,data_plan_issue,0.1248675846398736,yes,human,"We're sorry to hear you're experiencing this issue. To better assist, could you please share your phone number, device type, and location?"
G126,"@GloCare pls no Glo network in OKEMESI ekiti,in ekiti west for d past 9days pls,we want to make call and browse ,find sometin do pls",network_issue,data_plan_issue,0.1392775068752885,yes,human,"We apologize for the inconvenience. To assist you better, could you please provide your mobile number, exact location with landmarks, LGA, issue duration, and device type? This will help us resolve the issue promptly."
