candidate_id,customer_tweet_id,customer_text,brand_response,customer_created_at,brand_created_at,response_count,has_multiple_responses,text_frequency,has_duplicate_text,text_length,word_count,length_bucket,cluster_id,sampling_priority,pilot_intent
1,1833931,"@GloCare I'm experiencing worst internet connection problem. Device is Gionee M5, No. 09055427816, location Pedro, Gbagada. Rectify now.","@550111 Good morning Raymond. We apologize for the inconveniences. May we know your device APN, username and password? FA",Wed Oct 18 07:03:41 +0000 2017,Wed Oct 18 07:44:32 +0000 2017,1,False,1,False,136,18,medium_long,1,0,
2,83248,@117627 @GloCare 08050651546,"@134288 @117627 Hello Olaniya, we apologize about it. Issue has been escalated to the unit in charge for assistance. We will revert via sms shortly. SO",Thu Nov 30 12:18:26 +0000 2017,Thu Nov 30 13:09:10 +0000 2017,1,False,1,False,28,3,short,2,2,
3,1072198,"@GloCare Hi guys, i cant mak calls, check balance, subscribe &amp; browse wit Glo network since fridays...guy wats goin on..Pls help","@373012 Hello Maximillian, we apologize for the inconveniences experienced.The issue has been resolved. Please restart your device and try again. SO",Mon Oct 23 08:15:29 +0000 2017,Mon Oct 23 10:53:08 +0000 2017,1,False,1,False,132,21,medium_long,0,0,
4,531479,"""@GloCare: I just don't get it one has to  deal with Poor network connection, 4gb that really isn't 4gb? Well my location is  G/lada Abuja.","@242259 Good day, apologies for any inconvenience, response has been sent to your timeline, Kindly check and revert. GA",Sat Dec 02 09:17:06 +0000 2017,Sat Dec 02 10:09:18 +0000 2017,1,False,1,False,139,25,long,5,0,
5,1302601,@GloCare It's unacceptable for your guys at the customer care desk to abort my call today while still making my complaints.It's very rude. 😬,"@424409 Sincere apologies, may we know the issue? Thank you. AA",Thu Oct 26 18:11:24 +0000 2017,Fri Oct 27 00:23:19 +0000 2017,1,False,1,False,140,24,long,1,0,
6,2195555,"@117627 @GloCare, there is no network from on the  23rd  October 2017 till this moment at IMEKO local government Ogun state of Nigeria. Kindly help out.","@642392 @117627 We apologize.Kindly provide your number, device type, exact location and error response for a quick check . Thank you. ET.",Thu Nov 09 20:18:12 +0000 2017,Fri Nov 10 00:37:21 +0000 2017,1,False,1,False,152,26,long,5,0,
7,2387348,@GloCare My Internet poor lately and I like to know my prepaid plan am currently on.,"@687940 Hello Jaheim,Kindly dial #100# to know your present package .EE",Tue Nov 14 08:50:08 +0000 2017,Tue Nov 14 10:47:08 +0000 2017,1,False,1,False,84,16,medium_short,1,0,
8,2214962,@117627 @GloCare Thanks.. Good morning,@647234 Thank you for the feedback. UO,Mon Nov 06 07:22:50 +0000 2017,Mon Nov 06 07:56:39 +0000 2017,1,False,1,False,38,5,short,11,2,
9,107444,@GloCare Good evening when am browsing with my glo line its very slow I don't know what is wrong,"@139865 Good morning Jay. May we have your cellphone number, location, landmark, device name, model, APN, username and password? FA",Fri Nov 24 20:00:07 +0000 2017,Sat Nov 25 07:58:37 +0000 2017,1,False,1,False,96,19,medium_short,11,0,
10,1123754,@GloCare @117627 The internet is still not connecting,"@206799 @117627 Hello Ademola, may we know the current data connection status at your location?  TT",Tue Oct 24 21:25:19 +0000 2017,Wed Oct 25 07:03:41 +0000 2017,1,False,1,False,53,8,short,10,0,
