customer_tweet_id,golden_customer_text,golden_intent,vector_top1_customer_text,vector_top1_response,vector_relevance,failure_mechanism,review_notes
2267327,"@117627 @659903 Since @GloCare won't take my calls please why is #100 taken from my account daily when I have not subscribed for data or any glo services. I bought this line on Thursday 9th Nov., 2017",unauthorized_charge_or_vas,"@117627 @glocare, for more than 12 hours I can't make nor receive calls after calling 100 for assistance although the data looks great!","@562345 @117627 Hello Chidi, we apologize for the inconveniences experienced.The issue is being worked on, will be resolved shortly.Please bear with us. SO",0.0,cross_intent_overlap,
745771,"@GloCare I have made complaints severally on how glo deducts my airtym,yet nothing was done abt. I will never patronize ur useless network again",unauthorized_charge_or_vas,@GloCare good morning.. Why is my GLO network poor??? Since on Friday up till now showing me emergency call only. Pls. 08052515535,"@128809 We apologize for any inconvenience. Kindly provide your, exact location, device type and error response so we can progress UO.",0.0,cross_intent_overlap,
317832,"@GloCare Please I'm not talking about data bonus. I'm talking about credit bonus, the one you check with #122*2#
Read my tweet well",bonus_or_promotion_issue,@GloCare Iam talking about the bonus data....,"@255512 Hello, the bonus has been added to the 4gb given for your N1000 subscription . DA",0.0,fine_grained_intent_distinction,
2910699,"@GloCare I borrowed #200 and recharged #400 card, and bought #200 data only for glo to deduct #100 from my account again. My number is 07054544145.",unauthorized_charge_or_vas,@GloCare I recharged my Glo phone number today several times and the value was not credited even after being deducted from my bank account,@747760 Good evening Leonardo. May we have your number to run a check on your line? May we also know the value of the airtime? FA,0.0,cross_intent_overlap,
2218206,"@GloCare pls Dear customer, a warm welcome of N200200 Free Airtime is yours. Since o, my normal bonus if I recharge, I nor dey c am again o.. Pls help",bonus_or_promotion_issue,"@GloCare Kindly help me, My airtime gets deducted indiscriminately. I'm now wary of Recharging, in fact. My No is 08056041889. Pls do something quickly!!!","@685970 Hello, Value added service activated on the line,has been deactivated. You may want to send STOP to 2442 to add number to the list of DND numbers. IQ",0.0,cross_intent_overlap,
1000324,"@GloCare Hello,
I just cleared my BMC account of #200 but few mins later I was notified again to still be owing.
Pls can you run a check",recharge_or_airtime_issue,@GloCare Aren't you guys gonna debit my account for my BMD purchase??....08155356601,"@206558 Good afternoon, Yes we will debit you soon. AP",0.0,operational_mismatch,
1043403,"@GloCare, ""Connection problem or invalid mmi code"" is what I see as I tried recharging 08072006674. Is *123*pin# no longer working? Thanks",recharge_or_airtime_issue,"@GloCare I used the regular recharge code at first *123*pin# but it was saying invalid.
Tried *323*pin# again and it still said invalid.",@372396 Dial #122*30# to confirm the 4x bonus. Thank you. SO,0.0,operational_mismatch,
2800841,"@GloCare @117627 
I load card and subscribed u telling me e never work that all these time am using my money de browse ? i DM u guys ‘ una de do me like hausa girl una no even wan pick my calls 
No be by force to use Glo oo 
God punish all of una 🚶🏿✌🏿
Hi @118424 🤚🏿",data_issue,@GloCare @GloCare it is now becoming unbearable for me. Because why will I load every time and they keep deducting my money without calling and have complained several times still nothing was done. Are you saying I should stop using glo mobile because it's unfair,@242257 Sincere apologies may we have the affected number for checks and assistance? GA,0.0,cross_intent_overlap,
658682,How can I have 4095mb of glo data as at 13th November and today 22nd I'm left with only 200mb haba @GloCare which kind 419 be this?,data_issue,@GloCare Pls I need details of glo 1000 data plan of 4gb,@145578 Here: https://t.co/GvxBuIxUZL. ^GM,0.0,fine_grained_intent_distinction,
1931834,@GloCare glo 09054590520. The last time I sub.  The message I received is that my data expires 2018. Why are yiu deducting my money na.,data_plan_issue,@GloCare Hello! Please glo has been deducting my money for reasons unknown to me. Please I want to why this is happening to 08156997716.,"@329777 Hello Amedox, we apologize. Issue has been escalated to the unit in charge for assistance. We'll revert back to you shortly. SO",0.0,fine_grained_intent_distinction,
49737,@GloCare It's high time you pple should introduce social bundles/plan...,data_plan_issue,"@GloCare A plan is active now, I'm using Twitter?",@184166 Kindly send CANCEL to 127 to stop auto renewal now. Change the MCN and then send STOP to 2442 for full VAS DND.  TT,0.0,operational_mismatch,
598439,@GloCare My number is 08118875122,account_or_general_support,@GloCare My number is 08114820744,@233523 Charged for calls. SO,0.0,context_poor_query,
1371044,@GloCare dailed it and still d same thing here is my number 08074640384,voice_or_line_issue,@GloCare dis is my number..08156880658,@483364 Kindly dial #122*23# unlocked bonus airtime. EE,0.0,context_poor_query,
