customer_tweet_id,golden_customer_text,golden_intent,retrieved_customer_text,retrieved_gloCare_response,similarity,retrieved_customer_tweet_id,relevance,vector_top1_distance,vector_top1_customer_text,vector_top1_response,vector_top1_tweet_id,vector_rank1_distance,vector_rank1_customer_text,vector_rank1_response,vector_rank1_tweet_id,vector_rank2_distance,vector_rank2_customer_text,vector_rank2_response,vector_rank2_tweet_id,vector_rank3_distance,vector_rank3_customer_text,vector_rank3_response,vector_rank3_tweet_id
1936686,"@GloCare so I recharged yesterday and I didn't get my usual bumba bonus, please why, 08117626261",bonus_or_promotion_issue,"@GloCare hi, I subscribed for N500 data and didn't get my bonus. Why?","@257778 Hello Lasaki, kindly provide your mobile number for checks and assistance.  TT",0.3001247516154083,584009,2,0.465856671333313,@GloCare hi!  Yester i recharges with 1000 07050369957 but I couldn't see my Bonus.??,@385002 you are on the Glo infinito plan which does not give bonuses ~ OO,1123758,0.465856671333313,@GloCare hi!  Yester i recharges with 1000 07050369957 but I couldn't see my Bonus.??,@385002 you are on the Glo infinito plan which does not give bonuses ~ OO,1123758,0.47344690561294556,@GloCare I have recharge but can't access my bonuses. Why?,@241944 Kindly dial #122*35# to check it. AP,1917354,0.5088375210762024,@GloCare why didn't I receive bumpa bonus on my last recharge?,@787680 may we know your number so we verify the claim? OO,2828164
2092919,@glocare pls I migrated to Glo jumbo and recharged. I've been given bonus but couldn't use it to call. help,bonus_or_promotion_issue,@GloCare what's wrong with your network.. Couldn't use it to browse since yesterday,@634314 We apologize.Kindly provide your number and location  for checks.EE,0.2632866526549028,2159627,0,0.48284125328063965,"@GloCare @117627 i have migrated to jumbo plan as an existing glo user ,recharged #500 twice and i still havent received any bonus ..","@440565 @117627 Hello Kehinde, May we have your number for checks. Thank you. IQ",1377054,0.48284125328063965,"@GloCare @117627 i have migrated to jumbo plan as an existing glo user ,recharged #500 twice and i still havent received any bonus ..","@440565 @117627 Hello Kehinde, May we have your number for checks. Thank you. IQ",1377054,0.5139738917350769,@GloCare I can't recharge my glo line. Kindly respond to my messages,"@367860, to recharge, pls dial 123 and follow the voice instructions to recharge. Thank you",1048767,0.5331419110298157,@GloCare I'm having issues recharging my glo line. I need help pls,"@360439 Good evening. We sincerely apologize for the inconveniences. The issue is being resolved. Please, bear with us. FA",1016172
1972746,"@GloCare please if I recharge my jumbo SIM, for existing subscriber , will my money be taking or will it still remain on my main balance",data_plan_issue,@GloCare what are the benefit of jumbo SIM for existing subscribers?,"@747770 There is a pre loaded N200,000 credit that can be used to browse, send SMS and call Glo customers. CA",0.2801846440979695,2651167,2,0.5789912939071655,"@GloCare @117627 But do the jumbo sim means no more 200% bonus on all recharges???,if yes how can I deactivate jumbo sim?😡","@232556 @117627 While on Jumbo package you can not get Bumpa 200% bonus. Dial *100*10*1#
to migrate to Bumpa. N100 migration fee will apply.  TT",493070,0.5789912939071655,"@GloCare @117627 But do the jumbo sim means no more 200% bonus on all recharges???,if yes how can I deactivate jumbo sim?😡","@232556 @117627 While on Jumbo package you can not get Bumpa 200% bonus. Dial *100*10*1#
to migrate to Bumpa. N100 migration fee will apply.  TT",493070,0.6610024571418762,@GloCare can I use the jumbo sim credit to buy data? 😔,@657324 You can only buy data plan with the credit on your main account not bonus account. Thank you. #Glo Jumbo #TeamUnlimited#. GA,2256973,0.6965979933738708,"@GloCare Hi, pls how much will i be charged per sec from my main balance if i migrate to jumbo but call another network number?","@463815 Morning Salihu, Jumbo package main account call tariff is 38k/sec.  TT",1480696
1024681,"@GloCare  Could you please send me the steps to recharge my Glo numbers using Ecobank Bank, Wuse 2 Abuja, Nigeria.",recharge_or_airtime_issue,@GloCare Please send me back my #50 deducted from 09054590520,@220608 May we know when the deduction was made? ET.,0.2544789567380093,2782508,0,0.643926203250885,@GloCare Recharge platform is from my first mobile banking application. Etranzact. My number is 08110839798,@233527 Your number was not credited. Kindly contact your bank. AP,496760,0.643926203250885,@GloCare Recharge platform is from my first mobile banking application. Etranzact. My number is 08110839798,@233527 Your number was not credited. Kindly contact your bank. AP,496760,0.6515649557113647,"@GloCare 08077208031, 1k, September 29th..
And used the Gtbank mobile help to do the Recharge transfer.",@350034 Please contact the bank for assistance. Line was not credited. Thank you. SO,969049,0.6551121473312378,@GloCare how to recharge card through bank,"@801996 Good day Bala. You can dial *805#,select your bank,and follow through to recharge. Line must be the one registered with your account. ^GM",2893677
2582778,"@GloCare pls i don't know how this pre-loaded airtime works,  cus I bought a new sim and recharged but didn't see any bonus",bonus_or_promotion_issue,"@GloCare @117627 I just activated jumbo sim and I recharged 1k,I didn't get my 200% bonus or any bonus at all.","@232556 @117627 Evening Evans, dial #122*23# to check the unlocked Jumbo bonus. Stay Unlimited!  TT",0.2365073044235085,493071,2,0.6182297468185425,"@GloCare Pls i just bought a new sim, i'll like to know d platform dat'll give me airtime bonus wen i recharge with bank topup",@780208 Already replied. ^GM,2796054,0.6182297468185425,"@GloCare Pls i just bought a new sim, i'll like to know d platform dat'll give me airtime bonus wen i recharge with bank topup",@780208 Already replied. ^GM,2796054,0.6517992615699768,"@GloCare My sim was on my phone when I discovered the supposed voice and data bonus weren't deducted, rather my airtime gets deducted.",@618470 Please note that on the glo jumbo offer all call bonuses are only for Glo to Glo numbers only. UO,2156639,0.6852379441261292,@117627 @GloCare how are we supposed to use this bonus airtime? I've been trying to use it. It ain't working https://t.co/oU7eveXQJj,"@281378 @117627 Hello Victor, Jumbo bonus is for SMS, Browse and calls to Glo customers . Kindly check the numbers you dialed and revert. Thank you. GA",676551
1885085,"@GloCare,@117627, I've lodged complain that I've not been able to call out except the customer care line, and I can't recharge on my phone",voice_or_line_issue,"@GloCare what is the problem again this evening, I've not been able to call out since morning","@562313 Good morning, we apologize for the inconveniences experienced.The issue is being worked on, will be resolved shortly.Please bear with us. SO",0.3411754396696842,1884568,2,0.3795073926448822,@GloCare why can't I call check my balance or even top my recharge. I can't even reach customer care. I need to call someone,"@701486 Good morning, we apologize for the inconveniences experienced.The issue is being worked on, will be resolved shortly.Please bear with us. SO",2447078,0.3795073926448822,@GloCare why can't I call check my balance or even top my recharge. I can't even reach customer care. I need to call someone,"@701486 Good morning, we apologize for the inconveniences experienced.The issue is being worked on, will be resolved shortly.Please bear with us. SO",2447078,0.38718870282173157,"Dear @GloCare @117627 
I still can't make calls, recharge my line or even check my balance. You owe your customers an explanation. Thanks","@215856 @117627 Hello Seun, we apologize for the inconveniences experienced.The issue is being worked on, will be resolved shortly.Please bear with us. SO",1884792,0.4039584994316101,@GloCare pls I have not been able to recharge or make calls all through the day. Called customer care but u guys keep cutting the line.,"@562341 Good morning, we apologize for the inconveniences experienced.The issue is being worked on, will be resolved shortly.Please bear with us. SO",1884691
734481,"@GloCare please you guys should help me check my line as I was awarded 500mb after I recharged but I'm been deducted from my Normal data subscription which really isn't suppose to be so, this is the number 08058976647",bonus_or_promotion_issue,@GloCare N50 keep deducting from my line every now and then.  Pls help me check this. My no. 08030573601.,"@452790 Afternoon Solomon, the N50 deducted on the line was for the borrowed credit from the network.  TT",0.1774603747194054,1433282,0,0.4956388771533966,@GloCare I just recharged 200 and it was deducted for data I did not subscribe to,@120254 May we know the mode of recharge?,2132556,0.4956388771533966,@GloCare I just recharged 200 and it was deducted for data I did not subscribe to,@120254 May we know the mode of recharge?,2132556,0.5147268772125244,"@GloCare I just recharged 200, and it was deducted for data I never subscribed to","@120254 Evening,  kindly provide your number for a quick check. AP",2092991,0.522682785987854,@GloCare pls I want to know why I'm being deducted 100# from my last recharge. I don't owe you guys. Pls I want to sub to a data plan.,@161615 We apologize for any inconvenience you may have experienced. Kindly provide your number. Thank you. UO.,2697513
1735825,"@GloCare I hav a lot of data&amp;call bonus,but's still charged frm my main balance Wen calln/browsn. &amp; #124#, #124*1# no longa work 08113877114",bonus_or_promotion_issue,"@GloCare Hi! I hav a lot of data &amp; call bonus,but I'm still charged frm my main balance Wen calln/browsn. Also,#124#, #124*1# no longer work","@512323 Evening,  kindly provide your number for a quick check. AP",0.8806304475702236,1686942,2,0.10443535447120667,"@GloCare Hi! I hav a lot of data &amp; call bonus,but I'm still charged frm my main balance Wen calln/browsn. Also,#124#, #124*1# no longer work","@512323 Evening,  kindly provide your number for a quick check. AP",1686942,0.10443535447120667,"@GloCare Hi! I hav a lot of data &amp; call bonus,but I'm still charged frm my main balance Wen calln/browsn. Also,#124#, #124*1# no longer work","@512323 Evening,  kindly provide your number for a quick check. AP",1686942,0.6335304975509644,"@GloCare just recharge 2500 today for data, can't make call wat happen to my bonus? 07056099107","@154814 Evening Opson, may we know the error response you get while attempting a call?  TT",167013,0.6595743894577026,@GloCare Iam tired up till now they dint touch the bonus data is 1049 since last week and is from my main account data they are charging me,"@255512 Hello Ibrahim , please be informed you can only use the bonus to call Glo numbers. DA",2634636
493087,@232561 @117627 @GloCare UPDATE!!! They've Deducted N10 From The 980 Again.. N1k Airtime Just This Morning Now Down To N970.. https://t.co/LWukklgbxv,unauthorized_charge_or_vas,"@232561 @117627 @GloCare That Was How I Hoped When N505 Was Down To Zero Naira... They've Started Again Today. I'm Not Hoping Again

I Was Even Shouting They Should Refund Me But Now They Can Keep The PRevious Money.. They Should Just Stop This Unnecessary Deduction Abeg!

@GloCare @117627 Is Beg I Beg https://t.co/2O7Lz0sSFr","@232560 @232561 @117627 Evening,  kindly provide your number for a quick check. AP",0.3339048191078272,493156,2,0.4788888394832611,@232561 @117627 @GloCare See Ehn!! Its Annoying.. I Am Scared To Load Airtime Again Now Because Of This... I'm Also Praying The Remaining N985 Won't Be Down Before The End Of Today.,@232560 @232561 @117627 We apologize about it. May we have the number to run a check? Thank you. SO,493090,0.4788888394832611,@232561 @117627 @GloCare See Ehn!! Its Annoying.. I Am Scared To Load Airtime Again Now Because Of This... I'm Also Praying The Remaining N985 Won't Be Down Before The End Of Today.,@232560 @232561 @117627 We apologize about it. May we have the number to run a check? Thank you. SO,493090,0.6812899708747864,@GloCare This is really getting out of hand. It has gone down a further N100 to N1861,@374571 We apologize about it. Issue already escalated to the unit in charge for assistance. Please exercise patience. SO,1079217,0.6945281624794006,@GloCare Yet to receive my N100. Pls refund!,"@165602 Hello Folashade, we apologize for the delay experienced. Work is in progress. Please bear with us. Thank you. SO",209546
2474624,"@GloCare My sister recharged and subscribed for glo data plan of N1000 on the 10th, airtime value was deducted but haven't received data paid for, pls resolve asap.",data_plan_issue,"@GloCare, I subscribed for TBT100 in the morning, my airtime was Deducted but I haven't get the service till now.","@693916 Sincere apologies, kindly let us know the code you dialed to subscribe. GA",0.3266424675200646,2414033,2,0.5472778081893921,"@117627 @GloCare 08051656065 that's the number ,the issue is I have not been charged from glo bonus data of 524 MB given to me ,am still Been charged from my subscribed data. Please look into it except it's fake .","@469090 @117627 Hello,
Your data bundle takes precision over bonus data. We empathize with you.

Thank you

PE",1504018,0.5472778081893921,"@117627 @GloCare 08051656065 that's the number ,the issue is I have not been charged from glo bonus data of 524 MB given to me ,am still Been charged from my subscribed data. Please look into it except it's fake .","@469090 @117627 Hello,
Your data bundle takes precision over bonus data. We empathize with you.

Thank you

PE",1504018,0.5531373023986816,@GloCare I bought the airtime for data renewal in hours N110.00 has been deducted to something I know nothing of. Shame for a coy to steal,"@276812 Hello Okey, may we have your number for assistance? Please revert via dm. SO",2673622,0.5555422306060791,"@GloCare I went to a glo office to get a glo sim. I was charged 1150 naira. I asked why, the lady said cause I will be given free data and airtime. Now the line has been activated. Now airtime, no data","@811251 Morning, please email the complete experience report to __email__ with details of personnel involved. You may also visit the shop to register the complaint.  TT",2933851
