query,tfidf_result,chroma_result_1,chroma_result_2,chroma_result_3,chroma_id_1,chroma_id_2,chroma_id_3,tfidf_in_chroma_top3
@GloCare  a feast for glo collecting tat funds as if I don't know wat to do wit money please delete all unnecessary things I didnt subscribe,@GloCare  a feast for glo collecting tat funds as if I don't know wat to do wit money please delete all unnecessary things I didnt subscribe,@GloCare  a feast for glo collecting tat funds as if I don't know wat to do wit money please delete all unnecessary things I didnt subscribe,@GloCare @377517 Please return all my money you have collected without me subscribed for It pls,@GloCare What happens to the money you took from me? I want my money back. Just give me my money back. You can be sure that this is my last day using Glo.,2491,1091432,2693384,True
@GloCare 08070635658,@GloCare  a feast for glo collecting tat funds as if I don't know wat to do wit money please delete all unnecessary things I didnt subscribe,@GloCare 08070635658,@GloCare 08054337870,@GloCare 08050633290,2490,16084,2121846,False
@GloCare @117625 @117626 @117627 Recall this is the 13th times given out this number to you people especially TT,@GloCare @117625 @117626 @117627 Recall this is the 13th times given out this number to you people especially TT,@GloCare @117625 @117626 @117627 Recall this is the 13th times given out this number to you people especially TT,@GloCare 08057888889. That's my number. It's already N130.00 now,@117627 @GloCare @145585 Over and over again?  How many times will you ask me that question,9089,2673621,1945692,True
@117628 @GloCare @117625 @117626 @117627 @48760 @53205 @7476  Hw @117627 is now robbing Peter 2pay Paul wht an unfortunate company is GLO network? I reported illegal deduction still ongoing.,@117628 @GloCare @117625 @117626 @117627 @48760 @53205 @7476  Hw @117627 is now robbing Peter 2pay Paul wht an unfortunate company is GLO network? I reported illegal deduction still ongoing.,@117628 @GloCare @117625 @117626 @117627 @48760 @53205 @7476  Hw @117627 is now robbing Peter 2pay Paul wht an unfortunate company is GLO network? I reported illegal deduction still ongoing.,"@GloCare @233515 @117626 @118424 @5566 Only to collect back the money from your daily deductions on my account. Am very tired of this company, have been wasting my time on you ppl",@GloCare now about N100 has been deducted. Why? Glo is stealing by trick. Please look into this and credit me back. 08053223199. Thanks,9092,496713,209850,True
@117628 @GloCare @117625 @117626 @117627 @48760 @53205 @7476 Thereafter I loaded #200 again with total balance stood at #1150. On early hour on Monday 29/10/2017 i inserted d sim to load #200.,@117628 @GloCare @117625 @117626 @117627 @48760 @53205 @7476 Thereafter I loaded #200 again with total balance stood at #1150. On early hour on Monday 29/10/2017 i inserted d sim to load #200.,@117628 @GloCare @117625 @117626 @117627 @48760 @53205 @7476 Thereafter I loaded #200 again with total balance stood at #1150. On early hour on Monday 29/10/2017 i inserted d sim to load #200.,"@GloCare  my no is 08118101301
I had a bonus of #2500 on my Jumbo Sim, and #500 as my main balance, made a 20 mins call on my to a glo line",@117627 @GloCare This was not reflected in my account. So check my call log and balance and see for yourself. Thank you,9096,111183,1746658,True
@GloCare @117628 @117625 @117626 @117627 @48760 @53205 @7476 This is over 10 times u people have been asking 4my number with conflicting responses frm SO &amp; d likes. 08054117690. U must refund my money.,@GloCare @117628 @117625 @117626 @117627 @48760 @53205 @7476 This is over 10 times u people have been asking 4my number with conflicting responses frm SO &amp; d likes. 08054117690. U must refund my money.,@GloCare @117628 @117625 @117626 @117627 @48760 @53205 @7476 This is over 10 times u people have been asking 4my number with conflicting responses frm SO &amp; d likes. 08054117690. U must refund my money.,@GloCare 07057571356 I want my money back.,@GloCare @181808 @117625 i am still expecting the refund.,9099,2691190,280561,True
@GloCare @117628 @117625 @117626 @117627 @48760 @53205 @7476 Hope authorities can see the mode of operation of GLO network. I am not surprised at all but I believed the regulating authorities is noting,@GloCare @117628 @117625 @117626 @117627 @48760 @53205 @7476 Hope authorities can see the mode of operation of GLO network. I am not surprised at all but I believed the regulating authorities is noting,@GloCare @117628 @117625 @117626 @117627 @48760 @53205 @7476 Hope authorities can see the mode of operation of GLO network. I am not surprised at all but I believed the regulating authorities is noting,Glo network has been awful for some weeks now and @GloCare don't even care #glo #network,"please I can't subscribe this morning, what is really happening to glo network? @GloCare",9102,2178893,2764095,True
@GloCare You @117627 is robbing Peter to pay Paul. What an exploitative network. Over two to three weeks now no feedback nor response from you people. Ole of highest order barawo kwai,@GloCare You @117627 is robbing Peter to pay Paul. What an exploitative network. Over two to three weeks now no feedback nor response from you people. Ole of highest order barawo kwai,@GloCare You @117627 is robbing Peter to pay Paul. What an exploitative network. Over two to three weeks now no feedback nor response from you people. Ole of highest order barawo kwai,@117628 @GloCare @117625 @117626 @117627 @48760 @53205 @7476  Hw @117627 is now robbing Peter 2pay Paul wht an unfortunate company is GLO network? I reported illegal deduction still ongoing.,"@GloCare @117627 Deducting money from account of millions of subscribers, someday you might just be the biggest network in the world, bunch of criminals!!!",9109,9092,209507,True
@117625 @117626 @117627 @GloCare I believed GLO is not bigger than regulator. Very unfortunate loaded #500 again after insertion frm welcome back I met #424.09k no call/mesg,@117625 @117626 @117627 @GloCare I believed GLO is not bigger than regulator. Very unfortunate loaded #500 again after insertion frm welcome back I met #424.09k no call/mesg,@117625 @117626 @117627 @GloCare I believed GLO is not bigger than regulator. Very unfortunate loaded #500 again after insertion frm welcome back I met #424.09k no call/mesg,"@232555 @GloCare @117627 It's only to call glo number,bonus is wack.",@117627 @GloCare May be I should reactivate my glo line again?,9116,493065,645784,True
@GloCare Mashafa Road Mpape Abuja 09058689953.i have written and your people have come to the area and reported back yet you keep apologising action,@GloCare Mashafa Road Mpape Abuja 09058689953.i have written and your people have come to the area and reported back yet you keep apologising action,@GloCare Mashafa Road Mpape Abuja 09058689953.i have written and your people have come to the area and reported back yet you keep apologising action,@GloCare Mashafa Road Mpape Abuja 09058689953.i have written and your people have come to the area and reported back yet you keep apologising action,@GloCare I have given you my address and all details but you have done nothing about it,14272,14272,2651098,True
@GloCare Glo please improve on your network even here in Abuja there are many places that need a mast your network is so so bad,@GloCare Glo please improve on your network even here in Abuja there are many places that need a mast your network is so so bad,@GloCare Glo please improve on your network even here in Abuja there are many places that need a mast your network is so so bad,"@GloCare your network is very poor and weak here in Makurdi, Benue State, Nigeria. Pls improve","@674704 @GloCare They won't rectify anything. Don't be deceived!
I've called in to report the same issue here in Lagos and when I travelled to Anambra &amp; ebonyi last. I even tweeted the exact location of the mast but nothing was done. They'll promise but won't fulfill. Officially the worst network",14276,443612,2330467,True
@GloCare I sent a proposal to ur sponsorship dept n for 2months n more I have not received reply.I have even sent numerous follow up mail,@GloCare I sent a proposal to ur sponsorship dept n for 2months n more I have not received reply.I have even sent numerous follow up mail,@GloCare I sent a proposal to ur sponsorship dept n for 2months n more I have not received reply.I have even sent numerous follow up mail,@GloCare And u are asking for registration after funding and duly registered it over weeks now!,"@117627 @GloCare I sent this message on Monday, I have not been replied till date",14278,2605170,29893,True
@GloCare 08079772477,@GloCare 08079772477,@GloCare 08079772477,@GloCare 08079772477,@GloCare 08077207679,15647,15656,2267312,True
"@GloCare I just dial d code again, it says I dnt have access to this service. What is this now glory ahh show me did bonus now wht is with ur nework","@GloCare I just dial d code again, it says I dnt have access to this service. What is this now glory ahh show me did bonus now wht is with ur nework","@GloCare I just dial d code again, it says I dnt have access to this service. What is this now glory ahh show me did bonus now wht is with ur nework",@GloCare..bt wen I dial d code I was told dat I don't av access to d service..*122*24#,"@GloCare Pls guys fix my service na I can't browse with it for days now, 08112007176. 
What is happening sef.Called 444 dey ar just singing",15646,1565791,2049473,True
"@GloCare Am so tired glo. Any tim I dial Dat code it's same reply, u don't have access to ds service bt m on jumbo, too annoying d 50mb dnt tk 4mins","@GloCare Am so tired glo. Any tim I dial Dat code it's same reply, u don't have access to ds service bt m on jumbo, too annoying d 50mb dnt tk 4mins","@GloCare Am so tired glo. Any tim I dial Dat code it's same reply, u don't have access to ds service bt m on jumbo, too annoying d 50mb dnt tk 4mins",@GloCare..bt wen I dial d code I was told dat I don't av access to d service..*122*24#,"@GloCare I swear I will throw this Sim away if ds thing continue on my account, you know u are not the only service provider in this country",15649,1565791,1123771,True
@GloCare Hv don n done dat it not work.  Again tel me why d 50mb data do not last pho 4mins?  Den u start taking my money from main act why,@GloCare Hv don n done dat it not work.  Again tel me why d 50mb data do not last pho 4mins?  Den u start taking my money from main act why,@GloCare Hv don n done dat it not work.  Again tel me why d 50mb data do not last pho 4mins?  Den u start taking my money from main act why,@GloCare pls I hv a complain concerning my 4gb data,"@GloCare ever since u increase d quantity of ur data at dsame price, d data isn’t lasting anymore. What u do and exhaust 100mb is now 200mb",15651,94488,596103,True
@GloCare What about dis ur bonus check with *122*23# and *122*24# I cnt see nothing anytime I use dis codes to check dis ur 200200 jumbo wotever,@GloCare What about dis ur bonus check with *122*23# and *122*24# I cnt see nothing anytime I use dis codes to check dis ur 200200 jumbo wotever,@GloCare What about dis ur bonus check with *122*23# and *122*24# I cnt see nothing anytime I use dis codes to check dis ur 200200 jumbo wotever,"@GloCare hi, i have over 2000naira on ny glo jumbo bonus but cant be used.... what's wrong? 09054346108 is my number",@GloCare Hi Glo you give me a bonus data plan and a code on how to check it but it's not working at all what happened the code is #122*24#,15654,2788455,2553574,True
@GloCare pls I dnt hv this freedata bt hv used Up to 100mb plus #300 worth of call card. Now u are even charging me 1 naira per mb why,@GloCare pls I dnt hv this freedata bt hv used Up to 100mb plus #300 worth of call card. Now u are even charging me 1 naira per mb why,@GloCare pls I dnt hv this freedata bt hv used Up to 100mb plus #300 worth of call card. Now u are even charging me 1 naira per mb why,@GloCare I just loaded 1000 naira recharge card now to do 3.6gb but 200 naira was deducted for the 100mb after sending cancel to 127,"@GloCare @161791 Why is it that everything about you is flash I recharged 1000 and I was sent a msg of bonus of 4000 Naira for call and mb data but nothing can be seen and use,I then subscribed for 4gb for 1000 but I was given 1.630gb and the network is too bad",15658,1131752,734454,True
@GloCare thank u,@GloCare thank u,@GloCare thank u,@GloCare Thank you,@GloCare Thank you,16075,1107123,2472155,True
@GloCare I'm yet to receive my refunds,@GloCare I'm yet to receive my refunds,@GloCare I'm yet to receive my refunds,@GloCare When am I getting my refund,@GloCare..... Waiting for my refund,16074,645765,2163265,True
"@GloCare I'm yet to receive my refunds, this is 48hrs nw and recharging my line is bcoming an issue as my credit doesn't last on my line.","@GloCare I'm yet to receive my refunds, this is 48hrs nw and recharging my line is bcoming an issue as my credit doesn't last on my line.","@GloCare I'm yet to receive my refunds, this is 48hrs nw and recharging my line is bcoming an issue as my credit doesn't last on my line.",@GloCare I'm yet to receive my refunds,@GloCare I complained about my credit being deducted on Friday and it hasn't been refunded.,16077,16074,736353,True
@GloCare  this was on the 2nd of this November,@GloCare  this was on the 2nd of this November,@GloCare  this was on the 2nd of this November,@GloCare november 22nd,@GloCare 24th of November 2017,16080,129462,734483,True
@GloCare 08054337870,@GloCare 08054337870,@GloCare 08054337870,@GloCare 08070635658,@GloCare 08070975277,16084,2490,1581961,True
@GloCare it has become obvious dat my units are taken illegally. I recharged 300 last week never called for even a minute but yesterday...,@GloCare it has become obvious dat my units are taken illegally. I recharged 300 last week never called for even a minute but yesterday...,@GloCare it has become obvious dat my units are taken illegally. I recharged 300 last week never called for even a minute but yesterday...,@GloCare pls I want to know why I'm being deducted 100# from my last recharge. I don't owe you guys. Pls I want to sub to a data plan.,@GloCare I wonder why anytime I recharge my line.... I get charged for a service I don't know..... 08053749532,16086,2697513,315470,True
"@GloCare I need clarification, If I port from another network to glo and subscribe to your N5000 data plan, how many GB in total will I get?","@GloCare I need clarification, If I port from another network to glo and subscribe to your N5000 data plan, how many GB in total will I get?","@GloCare I need clarification, If I port from another network to glo and subscribe to your N5000 data plan, how many GB in total will I get?",@GloCare hello am currently on a N2500 monthly data plan...  How many gb will I get on my first switch to N5000 monthly plan..,"Hallo @GloCare, Pls confirm for me if N1000 data subscription is capped at 4GB or 3.2GB or 2GB?
Please, we are confused here.",19085,496725,1825316,True
@GloCare please I recharged 200 and it was deducted I was given 200mb. So how do I unsubscribe,@GloCare please I recharged 200 and it was deducted I was given 200mb. So how do I unsubscribe,@GloCare please I recharged 200 and it was deducted I was given 200mb. So how do I unsubscribe,@GloCare Please how do I unsubscribe,@GloCare please help me unsubscribe all the charging services on 08072972170,19090,1091425,2811961,True
"@GloCare please, how do I unsubscribe for data? ✌","@GloCare please, how do I unsubscribe for data? ✌","@GloCare please, how do I unsubscribe for data? ✌",@GloCare Please how do I unsubscribe,"@GloCare how do unsubscribe *122*24# ???????? Please unsubscribe me,  I no want again...thanks",19092,1091425,1462266,True
@GloCare i tried to recharge my glo line but the pin refused to enter nows its showing your line has been blocked.,@GloCare i tried to recharge my glo line but the pin refused to enter nows its showing your line has been blocked.,@GloCare i tried to recharge my glo line but the pin refused to enter nows its showing your line has been blocked.,@GloCare I can't recharge my glo line. Kindly respond to my messages,@GloCare I'm having issues recharging my glo line. I need help pls,20362,1048767,1016172,True
@GloCare . Tryin to load a card since yesterday wit 323 telin me card has bin used after several attempt. Yet to b credited.Kindly luk it up,@GloCare . Tryin to load a card since yesterday wit 323 telin me card has bin used after several attempt. Yet to b credited.Kindly luk it up,@GloCare . Tryin to load a card since yesterday wit 323 telin me card has bin used after several attempt. Yet to b credited.Kindly luk it up,@GloCare my issue is yet to be rectified as 48hrs has elapsed.tryin to load card wit 323. d Response i am getin ïs card has used.07055534656,@GloCare S. No. __credit_card__ *323* and *123* that i can't load this card now contact customer service thanks,20365,1480719,327877,True
"@GloCare SN...__credit_card__
07055534656 is my number","@GloCare SN...__credit_card__
07055534656 is my number","@GloCare SN...__credit_card__
07055534656 is my number","@GloCare @161617 Phone number:08077951851, Serial Number: __credit_card__","@GloCare Serial number: __credit_card__
Phone number: 08073185451",20364,194006,327908,True
@GloCare I av done dat...stil nt there...bal is 0.35,@GloCare I av done dat...stil nt there...bal is 0.35,@GloCare I av done dat...stil nt there...bal is 0.35,@GloCare continue ehn....,@GloCare Itel 1501,20367,1214227,423656,True
May I know how to stop auto renewal of data on Glo network @117627 @GloCare Thanks,May I know how to stop auto renewal of data on Glo network @117627 @GloCare Thanks,May I know how to stop auto renewal of data on Glo network @117627 @GloCare Thanks,"@GloCare Help me stop daily data auto renewal on my line. Please, check DM. Thanks.",@GloCare please i want to stop auto renewal for my data subscription,20370,1677719,941268,True
"@GloCare 08073575706, behind costom office Federal Lowcost Northbank Makurdi Benue State. We ll be happy if this is fixed ASAP thnx.","@GloCare 08073575706, behind costom office Federal Lowcost Northbank Makurdi Benue State. We ll be happy if this is fixed ASAP thnx.","@GloCare 08073575706, behind costom office Federal Lowcost Northbank Makurdi Benue State. We ll be happy if this is fixed ASAP thnx.","@GloCare 08073575706, behind costom office Federal Lowcost Northbank Makurdi Benue State. We ll be happy if this is fixed ASAP thnx.",@GloCare The phone number is there in my message. Some money is being deducted from 08075848466 everyday. Have been complaining for long.,20372,20372,1830097,True
@GloCare hi ur network here is terrible. One cannot access d net nor call. Pls can somthn b done ASAP?,@GloCare hi ur network here is terrible. One cannot access d net nor call. Pls can somthn b done ASAP?,@GloCare hi ur network here is terrible. One cannot access d net nor call. Pls can somthn b done ASAP?,"@GloCare! Had network issue over 2 days, Got no connection, can't make calls nor receive , my no is 08158140245! Can u help out pls","@GloCare! Had network issue over 2 days, Got no connection, can't make calls nor receive , my no is 08158140245! Can u help out pls",20375,1855827,1855827,True
You will always wait for someone to subscribe large volume of data before being unfortunate @117627 @GloCare,You will always wait for someone to subscribe large volume of data before being unfortunate @117627 @GloCare,You will always wait for someone to subscribe large volume of data before being unfortunate @117627 @GloCare,"@GloCare... I subscribed for Glo data. But unfortunately, THREE DAYS later, the data is yet to be activated even after numerous complains!",Barely a week using GLO and you people are frustrating me. Why can’t I subscribe for data? @GloCare,20378,1377024,672431,True
"@117627 @GloCare Despite receiving the attached message, I still can't access the internet with my glo line https://t.co/A5BNV5nGt7","@117627 @GloCare Despite receiving the attached message, I still can't access the internet with my glo line https://t.co/A5BNV5nGt7","@117627 @GloCare Despite receiving the attached message, I still can't access the internet with my glo line https://t.co/A5BNV5nGt7",@GloCare @117627 The internet is still not connecting,"@136518 @GloCare @117627 Glo internet network has been very bad since 3 days, I am also not able to surf the internet",20384,1123754,1663915,True
@GloCare pls I want to know if I was giving the free data today how can I check it out tnxs,@GloCare pls I want to know if I was giving the free data today how can I check it out tnxs,@GloCare pls I want to know if I was giving the free data today how can I check it out tnxs,@GloCare Hello good morning please how will I know that I have been received the free data today bcoz I have been loading up to N1000 now,"@GloCare hi good evening, I have been unable to browse with the free data I was given, called customer service severally to no avail.",20396,296348,2905486,True
@GloCare __credit_card__,@GloCare __credit_card__,@GloCare __credit_card__,@GloCare __credit_card__,@GloCare __credit_card__,20399,1480718,2231280,True
"@GloCare I recharged 200 hundred be for the 1000.
The 200 is what I can find, am ok  with the 1000 because I made use of it myself.","@GloCare I recharged 200 hundred be for the 1000.
The 200 is what I can find, am ok  with the 1000 because I made use of it myself.","@GloCare I recharged 200 hundred be for the 1000.
The 200 is what I can find, am ok  with the 1000 because I made use of it myself.",@GloCare pls check my line ( 08156688577) this morin i recharge 200 but got 100,@GloCare Yes i recharged those cards respectively because i was trying to recharge 1000 but the last 200 didn't work!,20398,700289,2231271,True
@GloCare *123*pin#,@GloCare *123*pin#,@GloCare *123*pin#,@GloCare *123*,@GloCare *303#,20402,2231276,388786,True
"@GloCare 08113331360
Good Morning.","@GloCare 08113331360
Good Morning.","@GloCare 08113331360
Good Morning.",@GloCare 08115233302,@GloCare 08113346817,20404,2500274,381917,True
"@GloCare  I can't understand y I can not see my account balance, i recharge 200 naira &amp; my account is empty. How?","@GloCare  I can't understand y I can not see my account balance, i recharge 200 naira &amp; my account is empty. How?","@GloCare  I can't understand y I can not see my account balance, i recharge 200 naira &amp; my account is empty. How?",@GloCare please Why can't I check my account balance ?,@GloCare Just tried again to recharge now with 200 naira but still getting account deactivated response,20406,1885853,848038,True
