customer_tweet_id,golden_customer_text,golden_intent,vector_top1_distance,vector_top1_customer_text,vector_top1_response,vector_top1_tweet_id,vector_relevance,review_notes
1936686,"@GloCare so I recharged yesterday and I didn't get my usual bumba bonus, please why, 08117626261",bonus_or_promotion_issue,0.465856671333313,@GloCare hi!  Yester i recharges with 1000 07050369957 but I couldn't see my Bonus.??,@385002 you are on the Glo infinito plan which does not give bonuses ~ OO,1123758,2.0,
2092919,@glocare pls I migrated to Glo jumbo and recharged. I've been given bonus but couldn't use it to call. help,bonus_or_promotion_issue,0.4828412532806396,"@GloCare @117627 i have migrated to jumbo plan as an existing glo user ,recharged #500 twice and i still havent received any bonus ..","@440565 @117627 Hello Kehinde, May we have your number for checks. Thank you. IQ",1377054,1.0,
1972746,"@GloCare please if I recharge my jumbo SIM, for existing subscriber , will my money be taking or will it still remain on my main balance",data_plan_issue,0.5789912939071655,"@GloCare @117627 But do the jumbo sim means no more 200% bonus on all recharges???,if yes how can I deactivate jumbo sim?😡","@232556 @117627 While on Jumbo package you can not get Bumpa 200% bonus. Dial *100*10*1#
to migrate to Bumpa. N100 migration fee will apply.  TT",493070,2.0,
1024681,"@GloCare  Could you please send me the steps to recharge my Glo numbers using Ecobank Bank, Wuse 2 Abuja, Nigeria.",recharge_or_airtime_issue,0.643926203250885,@GloCare Recharge platform is from my first mobile banking application. Etranzact. My number is 08110839798,@233527 Your number was not credited. Kindly contact your bank. AP,496760,1.0,
2582778,"@GloCare pls i don't know how this pre-loaded airtime works,  cus I bought a new sim and recharged but didn't see any bonus",bonus_or_promotion_issue,0.6182297468185425,"@GloCare Pls i just bought a new sim, i'll like to know d platform dat'll give me airtime bonus wen i recharge with bank topup",@780208 Already replied. ^GM,2796054,2.0,
1885085,"@GloCare,@117627, I've lodged complain that I've not been able to call out except the customer care line, and I can't recharge on my phone",voice_or_line_issue,0.3795073926448822,@GloCare why can't I call check my balance or even top my recharge. I can't even reach customer care. I need to call someone,"@701486 Good morning, we apologize for the inconveniences experienced.The issue is being worked on, will be resolved shortly.Please bear with us. SO",2447078,2.0,
734481,"@GloCare please you guys should help me check my line as I was awarded 500mb after I recharged but I'm been deducted from my Normal data subscription which really isn't suppose to be so, this is the number 08058976647",bonus_or_promotion_issue,0.4956388771533966,@GloCare I just recharged 200 and it was deducted for data I did not subscribe to,@120254 May we know the mode of recharge?,2132556,1.0,
1735825,"@GloCare I hav a lot of data&amp;call bonus,but's still charged frm my main balance Wen calln/browsn. &amp; #124#, #124*1# no longa work 08113877114",bonus_or_promotion_issue,0.1044353544712066,"@GloCare Hi! I hav a lot of data &amp; call bonus,but I'm still charged frm my main balance Wen calln/browsn. Also,#124#, #124*1# no longer work","@512323 Evening,  kindly provide your number for a quick check. AP",1686942,2.0,
493087,@232561 @117627 @GloCare UPDATE!!! They've Deducted N10 From The 980 Again.. N1k Airtime Just This Morning Now Down To N970.. https://t.co/LWukklgbxv,unauthorized_charge_or_vas,0.4788888394832611,@232561 @117627 @GloCare See Ehn!! Its Annoying.. I Am Scared To Load Airtime Again Now Because Of This... I'm Also Praying The Remaining N985 Won't Be Down Before The End Of Today.,@232560 @232561 @117627 We apologize about it. May we have the number to run a check? Thank you. SO,493090,2.0,
2474624,"@GloCare My sister recharged and subscribed for glo data plan of N1000 on the 10th, airtime value was deducted but haven't received data paid for, pls resolve asap.",data_plan_issue,0.5472778081893921,"@117627 @GloCare 08051656065 that's the number ,the issue is I have not been charged from glo bonus data of 524 MB given to me ,am still Been charged from my subscribed data. Please look into it except it's fake .","@469090 @117627 Hello,
Your data bundle takes precision over bonus data. We empathize with you.

Thank you

PE",1504018,1.0,
