golden_selected,golden_intent,confidence,case_type,escalation_expected,annotation_notes,customer_tweet_id,customer_text,brand_response,text_length,has_question_mark,has_number,signal_network,signal_data,signal_recharge,signal_sim_device,signal_vas_charge,signal_bonus_promo,signal_account_general,signal_low_information,signal_possible_escalation,signal_short_message,topic_signal_count,review_priority
,,,,,,1936686,"@GloCare so I recharged yesterday and I didn't get my usual bumba bonus, please why, 08117626261",@576175 the line provided is not on Glo Bumpa but on Glo Bounce ~ OO,96,False,True,False,True,True,False,True,True,True,True,True,False,5,3
,,,,,,2092919,@glocare pls I migrated to Glo jumbo and recharged. I've been given bonus but couldn't use it to call. help,@246223 #TeamUnlimited# to the rescue! Kindly provide your number for checks  @83873. Thank you for choosing Glo. GA,107,False,False,False,True,True,False,True,True,True,True,True,False,5,3
,,,,,,1972746,"@GloCare please if I recharge my jumbo SIM, for existing subscriber , will my money be taking or will it still remain on my main balance","@584299 Hello Kommanda, the amount recharged will be credited in your main account. Bonus will be credited in a different account. Thank you. SO",136,False,False,False,True,True,True,True,False,True,True,True,False,5,3
,,,,,,1024681,"@GloCare  Could you please send me the steps to recharge my Glo numbers using Ecobank Bank, Wuse 2 Abuja, Nigeria.",@362474 Please visit any of : https://t.co/QtHZF68dka  or https://t.co/E1huUCbBr9 or https://t.co/6tDm6qs8TT Thank you. GA,113,False,True,False,True,True,False,True,False,True,True,True,False,4,3
,,,,,,2582778,"@GloCare pls i don't know how this pre-loaded airtime works,  cus I bought a new sim and recharged but didn't see any bonus","@731949 Hello Chinedu , Kindly recharge to unlock the bonus .EE",122,False,False,False,False,True,True,True,True,False,True,True,False,4,3
,,,,,,1885085,"@GloCare,@117627, I've lodged complain that I've not been able to call out except the customer care line, and I can't recharge on my phone","@136518 @117627 Hello Olokunniyi, we apologize for the inconveniences experienced.Issue is being worked on, will be resolved shortly.Please bear with us. SO",138,False,True,False,False,True,True,True,False,True,True,True,False,4,3
,,,,,,734481,"@GloCare please you guys should help me check my line as I was awarded 500mb after I recharged but I'm been deducted from my Normal data subscription which really isn't suppose to be so, this is the number 08058976647",@295735 Good morning Eze. The bonus data is added to your data bundle. FA,217,False,True,False,True,True,False,True,False,True,True,True,False,4,3
,,,,,,1735825,"@GloCare I hav a lot of data&amp;call bonus,but's still charged frm my main balance Wen calln/browsn. &amp; #124#, #124*1# no longa work 08113877114","@512323 Afternoon,you have exhausted your data bonus. The voice bonus can only be used for glo to glo calls. AP",148,False,True,False,True,False,False,True,True,False,True,True,False,3,3
,,,,,,493087,@232561 @117627 @GloCare UPDATE!!! They've Deducted N10 From The 980 Again.. N1k Airtime Just This Morning Now Down To N970.. https://t.co/LWukklgbxv,"@232560 We apologize,kindly provide your number for a quick check. AP",149,False,True,False,True,True,False,True,False,False,True,True,False,3,3
,,,,,,2474624,"@GloCare My sister recharged and subscribed for glo data plan of N1000 on the 10th, airtime value was deducted but haven't received data paid for, pls resolve asap.","@707496 Sincere apologies, may we have the affected number and device type? GA",164,False,True,False,True,True,False,True,False,False,True,True,False,3,3
,,,,,,2267327,"@117627 @659903 Since @GloCare won't take my calls please why is #100 taken from my account daily when I have not subscribed for data or any glo services. I bought this line on Thursday 9th Nov., 2017","@659902 @117627 Kindly send in your number,for a check. CA",200,False,True,False,True,False,False,True,False,True,True,True,False,3,3
,,,,,,2490259,"@GloCare @117627 Number-07052632663
Device type- infinix hot note x551
Location- Akwa Ibom state university, Ikot Akpaden, Mkpat enin, Akwa ibom state
Error message- emergency
Signal- No signal
Alternate numbers- 08128059629...08147428657","@242707 @117627 Sincere apologies Cater, We apologize for any inconvenience you may have experienced.The complaint has been escalated. You will receive a text informing you when the issue will be rectified. Thank you. GA",238,False,True,True,True,False,True,False,False,False,True,True,False,3,3
,,,,,,1371022,Lol prople dey para oo. Hahhahahahaaha. Oya @GloCare kindly stop any VAS service and callertunes oo. They have abused me for being too patient with u. I asked a question and yet to get an answer. How can i get my number across without dropping it on timeline? https://t.co/z5KKf4KEq9,@280908 Good afternoon. May we have your cellphone number to run a check on your line? FA,283,True,True,False,True,False,True,True,False,False,True,True,False,3,3
,,,,,,2358305,@GloCare I can't browse check your network,"@126251 Hello, may we know your location?",42,False,False,True,True,False,False,False,False,False,False,True,True,2,3
,,,,,,296363,@GloCare Why am I charged for airtime not used?,"@186582 Afternoon Ogwu, once the credit is borrowed the system will charge you appropriately.  TT",47,True,False,False,False,True,False,True,False,False,True,True,False,2,3
,,,,,,2380426,@GloCare old how can a customer check his data account? Thanks,@686365 Its *127*0# or INFO to 127 to check. ^GM,62,True,False,False,True,False,False,False,False,True,True,True,False,2,3
,,,,,,974051,@GloCare 07057789957....pls check why the money I recharged for auto renew was deducted without any apparent msg on d deduction,"@153135 Good morning, please confirm the amount recharged, method of recharge and date for clarification. Thank you. SO",127,False,True,False,False,True,False,True,False,False,True,True,False,2,3
,,,,,,120114,@GloCare u give sending me sms dat my network signal issues has being resolved I said u deducted money 08055451220 work on this pls,@139868 Hello Kazeem. Kindly dial STOP to  35182 to deactivate the subscribed VAS. You may also send STOP to 2442 for full VAS DND.  TT,131,False,True,True,False,False,False,True,False,False,True,True,False,2,3
,,,,,,2330303,"@GloCare 08119242743,no network  bars atall,and went it comes up,i can't mk calls not even browse  wit it, Ajah, Lagos, Moba town etiosa lga","@674684 Hello, we apologize. We are aware of the issue and the network engineers are working to resolve it. Kindly bear with us. DA",138,False,True,True,True,False,False,False,False,False,True,True,False,2,3
,,,,,,16086,@GloCare it has become obvious dat my units are taken illegally. I recharged 300 last week never called for even a minute but yesterday...,"@119528 Afternoon Daytonye, kindly provide your mobile number for checks and assistance.  TT",138,False,True,False,False,True,False,True,False,False,True,True,False,2,3
,,,,,,793275,"@GloCare, i can't browse with Glo, but same setting, is what am browsing on Mtn, we love ur network more than other, kindly do something pls","@307683 Please confirm the apn, username and password. Also revert with your number and exact location. SO",140,False,False,True,True,False,False,False,False,False,True,True,False,2,3
,,,,,,745771,"@GloCare I have made complaints severally on how glo deducts my airtym,yet nothing was done abt. I will never patronize ur useless network again","@298299 Good morning, we apologize about it. The issue has been forwarded to our resolution team for assistance. Thank you. SO",144,False,False,True,False,False,False,True,False,False,True,True,False,2,3
,,,,,,1258137,@GloCare network been switching off &amp; on. It has been completely off for a while now &amp; I can't even call customercare pls help 07053337908,"@414813 Kindly select 3G only network; not Auto, on your device setting for better connection. TT",146,False,True,True,False,False,False,False,False,True,True,True,False,2,3
,,,,,,2764089,"Dear customer, your subscription of CHOLESTROL's gpa cannot be renewed due to insufficient balance. @117627 @GloCare CANCEL. I did not subscribe to it. #Fraud.","@201381 @117627 Morning Edu, kindly send STOP to the VAS code or provide your mobile number for assistance to deactivate the VAS.  TT",159,False,True,False,True,False,False,True,False,False,True,True,False,2,3
,,,,,,2651022,"@GloCare Hello. It's an office line, it's for calls only. I told you it does not support browsing. Kindly tell me i you can refund the airtime or not. This is taking too long","@747750 Apologies, kindly send a mail to __email__ for further assistance. DA",174,False,False,False,True,True,False,False,False,False,True,True,False,2,3
,,,,,,2330300,"@GloCare 08119242743,no network  bars atall, and wen it come back, i can't mk use it, and I just renewed my data,Ajah Lagos, Moba town, etiosa lga.yesterday till now, techno j8 boom","@674684 Hello, we apologize. We are aware of the issue and the network engineers are working to resolve it. Kindly bear with us. DA",180,False,True,True,True,False,False,False,False,False,True,True,False,2,3
,,,,,,496767,@GloCare earlier this week i used the 2442 DND code given to me by one of ur agents nw am getting msgs 4 a service i didnt subscribe 4 with my airtime deducted 4 said service Again!!!,@227394 We apologize. May we have your number for assistance? SO,183,False,True,False,False,True,False,True,False,False,True,True,False,2,3
,,,,,,2817931,"@GloCare Please check again, Firstly 400 naira was deducted, I loaded 100 naira, no deduction, 500 naira was loaded, and the last 100 naira was deducted, why deducting from the 1000 naira, and why is 20 naira still remaining","@785493 Hello Julius, N20 was debited from the amount (N100) recharged for value added service. Hence, the remaining amount was not sufficient to clear the outstanding loan. SO",224,False,True,False,False,False,False,True,False,True,True,True,False,2,3
,,,,,,2159663,"@GloCare The number is 08050630693, HTC M8, Igbeti in olorunsogo LG OYO state, 3G network failure and also kindly note that we experience incessant network outage due power failure ( some times 4 days in a week) since Dec 2016, several complaint but still same .",@634317 The issue has been escalated to the unit in charge and It will be resolved soon. AP,262,False,True,True,True,False,False,False,False,False,True,True,False,2,3
,,,,,,2724779,"@GloCare @117627 Stop emphasizing with mee. I've provided you with the number - +234 807 683 5245 - not fewer than 3times. Afterwards, you still resubscribed mee to the unsolicited services and deducted my money. @104856 @117626 @7475 @104937 @120330 @127588 @562660",@264735 @117627 The VAS on the line has been deactivated. Sens STOP to 2442 for full VAS DND.  TT,266,False,True,False,True,False,False,True,False,False,True,True,False,2,3
,,,,,,2651024,"@GloCare Would he/they refund the airtime?  I have used the live chat portal, still on Twitter, now Mail. If @GloCare  cannot provide the needed​ assistance, i think you should just tell me. I'm new on the network. I wouldn't want​ to waste my time and effort chasing after the wind.","@747750 Apologies, the data cannot be refunded. Thank you. DA",281,True,False,True,False,True,False,False,False,False,True,True,False,2,3
,,,,,,788938,@GloCare  okk. I've sent in my complaint,@308138 May we have your number? CA,39,False,False,False,False,False,False,False,False,False,True,True,True,0,3
,,,,,,209546,@GloCare Yet to receive my N100. Pls refund!,"@165602 Hello Folashade, we apologize for the delay experienced. Work is in progress. Please bear with us. Thank you. SO",44,False,True,False,False,False,False,False,False,False,True,True,True,0,3
,,,,,,2933831,@GloCare thankz. But dey didn't give me any bonus as i bought new jumbo sim yesterday with #1100 Recharge card.,@811250 Please dial #122*23# to view your unlocked JUMBO bonus. ^GM,111,False,True,False,True,True,True,True,True,False,True,False,False,5,2
,,,,,,317832,"@GloCare Please I'm not talking about data bonus. I'm talking about credit bonus, the one you check with #122*2#
Read my tweet well","@165653 Morning, we apologize. We are unable to access your account presently due to system maintenance. TT",131,False,True,False,True,True,False,False,True,True,True,False,False,4,2
,,,,,,2470834,@117627  Data service is just too poor. @GloCare please tell me how are you grandmasters of data. This tweet was sent using @5566 network,@706719 @117627 We sincerely apologize for the inconveniences. GA,136,False,True,True,True,False,False,True,False,True,True,False,False,4,2
,,,,,,2910699,"@GloCare I borrowed #200 and recharged #400 card, and bought #200 data only for glo to deduct #100 from my account again. My number is 07054544145.",@805787 100 naira was debited yesterday as repayment for the loan taken. ^GM,147,False,True,False,True,True,False,True,False,True,False,True,False,4,2
,,,,,,2218206,"@GloCare pls Dear customer, a warm welcome of N200200 Free Airtime is yours. Since o, my normal bonus if I recharge, I nor dey c am again o.. Pls help","@208125 Kindly be explicit,so we may assist. CA",150,False,True,False,False,True,False,True,True,True,True,False,False,4,2
,,,,,,2414073,"@GloCare Hello my subscription was stopped days before it was supposed to expire,called your customer care twice stayed on the phone for 22 minutes no response.","@693921 Kindly dial *127*0# or send INFO to 127 to check your data balance and validity. You may also dial *777#, select 1 for 3G-4G data Plan, then 4 to Manage Plan, then 4 to Get Data Balance. A plan expires when it reaches the validity date and also when the data volume finishes. GA",160,False,True,False,True,False,True,True,False,True,True,False,False,4,2
,,,,,,584005,"@GloCare my mobile #08159821678...I just recharge 1400 - was goin to load anoda 1100 so I can activate d (5gb) 2500 data plan, pls is there anything u can do to help?","@257777 Hello Chubby, kindly send CANCEL to 127 to deactivate the data auto renewal service on the line. It will enable you change subscription type.  TT",166,True,True,False,True,True,False,True,False,True,True,False,False,4,2
,,,,,,474020,@GloCare @227840 Wetin happen. You guys are charging me for iflix after using for less than 60 days. Kilode? Iflix finished my last day subscription I didn't notice until I resubscribed and saw data dropping fast as I use iflix. Please what's the rule? 08051891193.,"@268899 @227840 Good morning, Damilola. Its access that's free for 2 months,not downloads or streaming on the app. More on that here: https://t.co/K1OxpO956D. ^GM",265,True,True,False,True,False,True,True,False,True,True,False,False,4,2
,,,,,,1917354,@GloCare I have recharge but can't access my bonuses. Why?,@241944 Kindly dial #122*35# to check it. AP,58,True,False,False,False,True,False,True,True,False,False,True,False,3,2
,,,,,,496751,@117627 @GloCare Please confirm if 08118280516 is 4G simcard,@233526 @117627 4G is active on the sim. SO,60,False,True,True,False,False,True,False,False,True,True,False,False,3,2
,,,,,,1931789,@GloCare how does one transfer credit from one phone to another?,"@372400 Hello Omoniyi, dial *131*Number*Amount* PIN# to share credit. To change PIN dial *132*00000*New PIN*New PIN# Default PIN is 00000. TT",64,True,False,False,False,True,True,False,False,True,True,False,False,3,2
,,,,,,834381,"@GloCare please I made a recharge of #1500,yesterday only to see #95 as my balance","@318689 Good morning, may we have your number for clarification. Thank you. SO",82,False,True,False,False,True,False,True,False,True,True,False,False,3,2
,,,,,,493063,@GloCare @232556 @117627 Good Evening. Please help to scan my line and remove what do deduct my credit. Thank,@232555 @117627 Kindly send in your number. Thank you. CA,109,False,True,False,False,True,False,True,False,True,True,False,False,3,2
,,,,,,670042,"@GloCare hey,i need help with my subscription...keeps redirecting me to dial *777# to knw more about data plans",@279817 We sincerely apologize for the inconvenience. We are currently carrying out an upgrade.We implore you to please bear with us as soon we would be able to assist you. Kindly try again later. GA,111,False,True,False,True,False,False,True,False,True,True,False,False,3,2
,,,,,,2715647,"@GloCare 3days old sim wit N400, plus bonus and jumbo. Only about 10mins call. No SMS, no internet. Calculate it","@762314 Hello Oses, kindly provide the mobile number for checks and assistance.  TT",112,False,True,False,True,False,True,False,True,False,True,False,False,3,2
,,,,,,1855757,"@GloCare seems you guys now run shift with a data service I paid for. At night no network, in the morning it shows face.","@555108 Good morning. We apologize for the inconveniences. May we have your number, location, device name, model, APN, username and password? FA",120,False,False,True,True,False,False,True,False,False,True,False,False,3,2
,,,,,,2218246,"@GloCare please guys, data browsing just stopped at egbeda/idimu/ikotun area . Alimosho Lagos. Full network bars but no browsing",@343861 Work is ongoing in order to resolve the issue. We crave your patience while this is done. Thank you. CA,128,False,False,True,True,False,False,False,False,True,True,False,False,3,2
,,,,,,469794,"@GloCare i did not apply for any #service. Dear User, your billing for Glo Gamestore has failed due insufficient balance. Please recharge",@222686 Kindly provide your phone number for assistance. ET.,137,False,False,False,False,True,False,True,False,True,True,False,False,3,2
,,,,,,1123768,"@GloCare Please, I want to complain about the poor service in my area. If I put on 3G service it shows emergency calls only.  PLEASE HELP!","@153133 Good morning, we empathize. Please alternate the network mode, select either 2g or 3g only, not both. Restart your device afterwards. GA",137,False,True,True,False,False,False,True,False,True,True,False,False,3,2
,,,,,,28337,"@GloCare No browsing network for us here, and our data subscription is always like a waste.. 
U can carry out a survey on this.. Form itoki to ifo","@122205 Morning Vicky, kindly provide your number, error message, exact location with landmarks, issue duration and device type for assistance. TT",145,False,False,True,True,False,False,True,False,False,True,False,False,3,2
,,,,,,2409934,"@GloCare please I need u assist me. When ever they are is money on you used to deduct it and I can remember subscribing to any news, advert or any",@692907 We apologize for this inconvenience. May we have the affected number for checks. #GloEverydayBonanza #TeamUnlimited# GA,146,False,False,False,True,False,False,True,False,True,True,False,False,3,2
,,,,,,2443697,"@GloCare @700705 @117627 Bukuru, Jos. Loss of signal for &gt;6 hours. Tafawa Balewa, Jos. Loss of Internet service. This happens on a daily actually.","@700706 @700705 @117627 Sincere apologies. kindly provide your number, device type, exact location with landmark, error message, signal you can see and alternate number. AP",149,False,True,True,True,False,False,True,False,False,True,False,False,3,2
,,,,,,209665,"@GloCare Please check my combo bundle balance for Int'l calls for 1000k subscription bcoz anytime I check through *777#,#122*1# no ans nr 07059646781","@165622 Afternoon Roberts, please dial  #122*1#  to check the IDD pack balance.  TT",149,False,True,False,True,False,False,True,False,True,True,False,False,3,2
,,,,,,2395492,@145588 @7693 @117627 @GloCare Please to inform you @117627 &amp; @145588 that your data connectivity in Apete by Yidi Road is worst that has imprisoned me and outcast my update on news as the data network needs 2b improve in d area please to allow me enjoy my data,@117624 @145588 @7693 @117627 We apologize. We are aware of the issue and the network engineers are working to resolve it. Kindly bear with us. EE,265,False,True,True,True,False,False,False,False,True,True,False,False,3,2
,,,,,,2414077,"@GloCare there's no flooding network in some areas of Ado-Ekiti. From Ijigbo Junction up to Oke Ureje is a complete black spot. No network at all both for call and data. Please,  I have a good spot to erect your master if this will resolve the issues. It's very bad. Please assist","@687943 Hello Oluwagbenija, we appreciate the feedback. Kindly send a mail to __email__ GA",279,False,False,True,True,False,False,False,False,True,True,False,False,3,2
,,,,,,575889,@GloCare Between yesterday and today.... I recharge 500 around after 2,"@255512 Your refund is being processed. You may send STOP to 2442 to blacklist your line from such subsequently,if you haven't. CA",70,False,True,False,False,True,False,True,False,False,True,False,False,2,2
,,,,,,1964647,Please and please epp my solution @GloCare  this your network is crawling 😭😭,"@582442 Morning.We apologize.Kindly provide your number, device type, exact location and error response for a quick check . Thank you. AP",75,False,False,True,False,False,False,False,False,True,True,False,False,2,2
,,,,,,1138796,@GloCare please is glo me2u not functioning again? I want to transfer credit,"@388245 it is, may we know the error it gives when you try to transfer credit? OO",76,True,True,False,False,True,False,False,False,True,True,False,False,2,2
,,,,,,1894596,@GloCare That's not what I have problem with please. Fix this deductions thing.,@564748 Complaint has been escalated. You will receive a text informing you when the issue will be rectified. GA,79,False,False,False,False,False,False,True,False,True,True,False,False,2,2
,,,,,,496739,@GloCare ur data service at Lagos island is terrible. I can't browse since morning,"@233522 We apologize. May we have your number, error message, exact location with landmarks, issue duration and device type for assistance. SO",82,False,False,False,True,False,False,True,False,False,False,True,False,2,2
,,,,,,2765226,@GloCare Though 2G can't be reached.... I can be reached on my 3G phone on 08053355365,@773395 The issue reported has been escalated for resolution. Kindly be patient.  TT,86,False,True,True,False,False,True,False,False,False,False,True,False,2,2
,,,,,,1825267,@GloCare My credit balance is 100 naira doesn’t show me anything concerning bumpa bonus,@507063 for bumpa bonus dial #122*2# ~ OO,87,False,True,False,False,True,False,False,True,False,True,False,False,2,2
,,,,,,471935,@GloCare @117627 Please why can’t I buy internet data? Been trying this since last night?,"@227392 @117627 We apologize.We are aware of it,our engineers are currently working on it kindly be patient. ET.""",89,True,True,False,True,False,False,False,False,True,True,False,False,2,2
,,,,,,1881394,"@GloCare your network is a disgrace, embarrassing that I subscribe and can't even use my data","@561463 We apologize for any inconvenience. Kindly provide your phone number, exact location, device type and error response so we can progress UO.",93,False,False,True,True,False,False,False,False,False,False,True,False,2,2
,,,,,,1389446,@GloCare help me check my line 08058011999 i ave megabyte but i pay for internet from the main acct,"@443002 Ensure you have the correct settings. APN- Gloflat, Username - Flat and Password-Flat. Thank you. UO.",99,False,True,False,True,False,False,False,False,True,True,False,False,2,2
,,,,,,2358270,"Good evening guys, so i have been unable to browse properly with my Glo sim since Saturday @GloCare",@562558 We sincerely apologize for the inconvenience. May we have  your location and number? DA,99,False,False,False,True,False,True,False,False,False,False,True,False,2,2
,,,,,,1836357,"@GloCare 08154796359, alternate number 08068760352, potiskum L.G along airport. don't knw d exactlandmark",@432915 The issue reported has been escalated for resolution. Kindly be patient.  TT,105,False,True,True,True,False,False,False,False,False,False,True,False,2,2
,,,,,,2636639,@GloCare This is the sub I did (the first one) only to get 1636mb. Please! Whats up.?.?! https://t.co/A50adS4T5F,@744205 Kindly confirm when your previous plan expired. CA,112,True,True,False,True,False,False,False,False,True,True,False,False,2,2
,,,,,,700256,@153129 my dear friend.. i dont have issues here i am enjoying the data. @GloCare will help you out. make u no vex.,"@194425 @153129 Good evening, thank you. AP",115,False,True,False,True,False,False,False,False,True,True,False,False,2,2
,,,,,,2693389,@GloCare I don't appreciate being ignored and I'm losing my patience. what kind of stupid customer service is this?,@756549 The issue has been escalated. Please check our last tweet on your timeline. Thank you for your patience. UO,115,True,False,False,False,False,False,True,False,True,True,False,False,2,2
,,,,,,988312,"@GloCare haba, my glo 4g lte wanna kill me this month since i subscribed. It doesnt go again, im tired pls help 😩😭😭😭","@354156 Good afternoon, may we have your number, device details, exact location and error message for assistance. We empathize. SO",116,False,True,True,False,False,False,False,False,True,True,False,False,2,2
,,,,,,2167982,The worst network you could ever subscribe to its data is @117627 @GloCare @117626. You have data but you can't browse.,"@636151 We apologize for any inconvenience. Kindly provide your phone number, exact location, device type and error response so we can progress UO.",119,False,True,True,True,False,False,False,False,False,False,True,False,2,2
,,,,,,1503862,"@GloCare @469054 My data is paused and is on a weekend plan, I want to switch back to my normal data plan . How please?","@469053 @469054 Hello,
Kindly call 444 or 08070140444 for assistance on your data.
Thank you

PE",119,True,True,False,True,False,False,False,False,True,True,False,False,2,2
,,,,,,883415,@GloCare but one things remains. I am a victim of unsolicited deductions. Please deactivate all deductions on 0815699716,"@329777 Good evening, we empathize, number not correct. Please dial 777*# to know number. SG",120,False,True,False,False,False,False,True,False,True,True,False,False,2,2
,,,,,,134239,"@airtel_care @GloCare Pls what is the cheapest data u have because all like other networks like glo, have 1000 for 3.5gb",@146233 Please visit https://t.co/GvxBuIxUZL to see our new plan list. UO,120,False,True,True,True,False,False,False,False,False,True,False,False,2,2
,,,,,,1691408,"@GloCare Cellphone number : 07057776132
Device name :Samsung 
Model : galaxy j7
APN: gloflat
Username:  flat
Password: flat","@513436 Good evening,your data subscription has expired. Kindly subscribe then we will follow up. Thank you. AP",121,False,True,False,True,False,True,False,False,False,False,True,False,2,2
,,,,,,1122587,@GloCare I have restarted my phone a million times. It's not a restart problem. It's a network problem. It's back now though,@384758 okay,124,False,False,True,False,False,True,False,False,False,True,False,False,2,2
,,,,,,2695567,"@GloCare pls am currently on #1000 3gb, i heard is now  4gb, hope on my next renewal is 4gb that i’ll see not 3gb as initial.",@261264 Yes it will. UO,124,False,True,True,True,False,False,False,False,False,True,False,False,2,2
,,,,,,33122,"@GloCare please where can I locate glo office near University of Ibadan environs.
Need to retrieve my lost sim card ASAP. Thanks","@123325 Hello Ijeoma, Conoil Filling Station, Sango/Eleyele Road, Beside Polytechnic south campus gate, Ibadan. SO",128,False,False,False,False,False,True,False,False,True,True,False,False,2,2
,,,,,,1462270,@GloCare pls u r deducting 50# from my credit on 08112952225 weekly...pls stop wateva dat is making u deduct it pls immediately...,"@459389 Hello Mayowa, we apologize. Issue has been escalated to the unit in charge for assistance. SO",130,False,True,False,False,True,False,True,False,False,True,False,False,2,2
,,,,,,1876055,"@GloCare can't you just work for a week,just a week without network disruption in Nigeria. People keep complaining abt ur services.","@139866 Good morning, we empathize. May we know the exact issue. Please revert with affected number, error message, location and duration. SO",131,False,False,True,False,False,False,True,False,False,False,True,False,2,2
,,,,,,1123739,"@GloCare I rchrgd N500 wt *323*PIN# bt none of my accts ws credited, made 2 kols to 121 yet not credited abt 7hrs now. 08050597950.",@385001 Good morning. May we have the recharge card serial number via DM? FA,131,False,True,False,False,True,True,False,False,False,True,False,False,2,2
,,,,,,445883,"@GloCare pls no Glo network in OKEMESI ekiti,in ekiti west for d past 9days pls,we want to make call and browse ,find sometin do pls","@144577 Morning, we apologize for the inconvenience. Kindly provide your mobile number, error response, exact location with landmarks, LGA , alternate mobile number, issue duration and device type for assistance. TT",132,False,True,True,True,False,False,False,False,False,True,False,False,2,2
,,,,,,1931834,@GloCare glo 09054590520. The last time I sub.  The message I received is that my data expires 2018. Why are yiu deducting my money na.,"@220608 Hello Sandra, the data was exhausted by 2.31 PM today.  TT",134,False,True,False,True,False,False,True,False,False,False,True,False,2,2
,,,,,,395956,"@GloCare 
Hello, can we plz have some reprieve to network quality in Graceland, Zaria, Kaduna State? 
It's embarrassingly slow n unstable.","@209744 We apologize for the inconveniences,we are aware of the issue and it's being worked on. EE",136,True,False,True,True,False,False,False,False,False,True,False,False,2,2
,,,,,,360520,@117627 @GloCare if u re having network issues inform ur customers. I thought I ve exhausted my bundle not knowing it's ur incompetence.,"@201381 @117627 Hello Edu, we empathize. May we know the exact issue experienced for clarification. Thank you. SO",136,False,True,True,True,False,False,False,False,False,True,False,False,2,2
,,,,,,94526,@GloCare Glo charges me 0.24 per secs same network cos I called glo line for 5 secs and was charged 1.2 /5secs =0.24 x60 =N14. 4 per min.,"@136527 ""Hello Aminu, may we have your number for clarification. Thank you. IQ",137,False,True,True,False,False,False,True,False,False,False,True,False,2,2
,,,,,,2330459,@GloCare Kindly help deactivate auto renewal on my line. I have tried to do so via text messages it wasn't going. My phone no: 08056341036,@419756 Kindly conform the service you wish to cancel auto renewal on. Thank you. CA,138,False,True,False,False,False,True,False,False,True,True,False,False,2,2
,,,,,,46773,@GloCare As a matter of fact I didn't download any song So please deactivate any caller tunes and VAS or song as a matter of urgency .thanks,@126397 Your request for VAS deactivation has bee treated. Stay Unlimited!  TT,140,False,False,False,False,False,False,True,False,True,True,False,False,2,2
,,,,,,1079213,"@GloCare Again where is my N20?? Recharged 3k, you auto renewed a plan I didn't want and my balance mysteriously went down from N2001 to N1981","@374571 Kindly be patient, the refund is being processed.  TT",142,True,True,False,False,True,False,True,False,False,False,True,False,2,2
,,,,,,163952,"@GloCare 09056699203, the closest landmark is Royal glory hotel, kasmo area, Osogbo, Osun State, huwei honor 6, pls boost your browsing network,","@153952 Hello, we apologize. We are aware of the issue and the network engineers are working to resolve it. Kindly bear with us. TT",144,False,True,True,True,False,False,False,False,False,True,False,False,2,2
,,,,,,1884511,"@GloCare ... For about 4 hours now. Kindly investigate and act as required. Data services seem fine. Location is Shasha (behind MMA), Lagos.

Thanks!","@562301 Good morning, we empathize. Please alternate the network mode, select either 2g or 3g only, not both. Restart your device afterwards. SO",148,False,True,False,True,False,False,True,False,False,True,False,False,2,2
,,,,,,209853,@GloCare I am sincerely disappointed in glo customer service. Would I have lied on that? Even your colleague earlier confirmed it. Check chat history,"@165648 Hello Julius,  Due to system upgrade, we apologize we are not be able to run a check at this time. Kindly exercise some patience. UO",149,True,False,False,False,False,False,True,False,True,True,False,False,2,2
,,,,,,65457,"@GloCare Dear Team, I just restarted the phone now and was able to browse, thanks for your response, we will monitor performance and keep you posted. Thanks",@130986 You are welcome. Stay Unlimited!!! AA,156,False,False,False,True,False,True,False,False,False,True,False,False,2,2
,,,,,,2247212,"@GloCare URGENT! I have not had network in my house area (somewhere in Rumuodara,PHC) for months. Which kain wahala be this? Once i get back from work i cant call or use data on my Glo line.","@654882 We apologize.Kindly provide your number, device type, exact location and error response for a quick check . Thank you. AP",190,True,False,True,True,False,False,False,False,False,True,False,False,2,2
,,,,,,2391743,@GloCare @117627 please what is going on ? I'm trying to renew my data bundle and It's not working.  As usual your customer care line never works!!!! Always held up🙄 please can you do something?,"@681851 @117627 We apologize, Kindly try it again later .EE",193,True,True,False,True,False,False,False,False,True,True,False,False,2,2
,,,,,,2782505,"@GloCare Hello guys. I bought a SIM this afternoon, registered it at a GLO Dealer outlet. I was promised that it be activated in 1 hour but I am yet to see activation. Kindly let me know what to do...",@777034 Kindly exercise patience. ET.,200,False,True,False,False,False,True,False,False,True,True,False,False,2,2
