customer_tweet_id,golden_intent,case_type,escalation_expected
2486781,account_or_general_support,escalation_relevant,yes
598439,account_or_general_support,low_information,yes
918858,voice_or_line_issue,routine,no
1371044,voice_or_line_issue,ambiguous,yes
2054146,sim_or_device_issue,ambiguous,yes
2500307,sim_or_device_issue,ambiguous,yes
1825267,bonus_or_promotion_issue,routine,no
2330536,bonus_or_promotion_issue,routine,no
2463673,network_issue,escalation_relevant,yes
539077,network_issue,escalation_relevant,yes
2965614,data_issue,routine,no
2005903,data_issue,ambiguous,yes
1462270,unauthorized_charge_or_vas,escalation_relevant,yes
1079213,unauthorized_charge_or_vas,ambiguous,yes
575889,recharge_or_airtime_issue,low_information,yes
2693389,non_actionable_or_context_required,ambiguous,yes
209853,non_actionable_or_context_required,ambiguous,yes
160989,non_actionable_or_context_required,low_information,yes
9099,unauthorized_charge_or_vas,escalation_relevant,yes
