annotation_status,review_order,golden_selected,golden_intent,confidence,case_type,escalation_expected,annotation_notes,customer_tweet_id,customer_text,brand_response,text_length,has_question_mark,has_number,signal_network,signal_data,signal_recharge,signal_sim_device,signal_vas_charge,signal_bonus_promo,signal_account_general,signal_low_information,signal_possible_escalation,signal_short_message,topic_signal_count,review_priority
,1,yes,data_plan_issue,high,escalation_relevant,yes,Subscription stopped before expected expiry; customer could not get support.,2414073,"@GloCare Hello my subscription was stopped days before it was supposed to expire,called your customer care twice stayed on the phone for 22 minutes no response.","@693921 Kindly dial *127*0# or send INFO to 127 to check your data balance and validity. You may also dial *777#, select 1 for 3G-4G data Plan, then 4 to Manage Plan, then 4 to Get Data Balance. A plan expires when it reaches the validity date and also when the data volume finishes. GA",160,False,True,False,True,False,True,True,False,True,True,False,False,4,2
,2,yes,unauthorized_charge_or_vas,high,ambiguous,yes,Customer reports unexpected iFlix-related data charging and asks about the rule.,474020,@GloCare @227840 Wetin happen. You guys are charging me for iflix after using for less than 60 days. Kilode? Iflix finished my last day subscription I didn't notice until I resubscribed and saw data dropping fast as I use iflix. Please what's the rule? 08051891193.,"@268899 @227840 Good morning, Damilola. Its access that's free for 2 months,not downloads or streaming on the app. More on that here: https://t.co/K1OxpO956D. ^GM",265,True,True,False,True,False,True,True,False,True,True,False,False,4,2
,3,yes,sim_or_device_issue,high,escalation_relevant,yes,New SIM was registered but activation did not occur as promised.,2782505,"@GloCare Hello guys. I bought a SIM this afternoon, registered it at a GLO Dealer outlet. I was promised that it be activated in 1 hour but I am yet to see activation. Kindly let me know what to do...",@777034 Kindly exercise patience. ET.,200,False,True,False,False,False,True,False,False,True,True,False,False,2,2
,4,yes,data_service_issue,high,routine,yes,Customer reports very poor data service.,2470834,@117627  Data service is just too poor. @GloCare please tell me how are you grandmasters of data. This tweet was sent using @5566 network,@706719 @117627 We sincerely apologize for the inconveniences. GA,136,False,True,True,True,False,False,True,False,True,True,False,False,4,2
,5,yes,network_issue,high,routine,yes,Customer reports severe data connectivity problem at a specific location.,2395492,@145588 @7693 @117627 @GloCare Please to inform you @117627 &amp; @145588 that your data connectivity in Apete by Yidi Road is worst that has imprisoned me and outcast my update on news as the data network needs 2b improve in d area please to allow me enjoy my data,@117624 @145588 @7693 @117627 We apologize. We are aware of the issue and the network engineers are working to resolve it. Kindly bear with us. EE,265,False,True,True,True,False,False,False,False,True,True,False,False,3,2
,6,yes,network_issue,high,escalation_relevant,yes,Complete network outage affects both calls and data in a defined area.,2414077,"@GloCare there's no flooding network in some areas of Ado-Ekiti. From Ijigbo Junction up to Oke Ureje is a complete black spot. No network at all both for call and data. Please,  I have a good spot to erect your master if this will resolve the issues. It's very bad. Please assist","@687943 Hello Oluwagbenija, we appreciate the feedback. Kindly send a mail to __email__ GA",279,False,False,True,True,False,False,False,False,True,True,False,False,3,2
,7,yes,bonus_or_promotion_issue,high,ambiguous,yes,Customer clarifies that the missing bonus is credit bonus rather than data bonus.,317832,"@GloCare Please I'm not talking about data bonus. I'm talking about credit bonus, the one you check with #122*2#
Read my tweet well","@165653 Morning, we apologize. We are unable to access your account presently due to system maintenance. TT",131,False,True,False,True,True,False,False,True,True,True,False,False,4,2
,8,yes,unauthorized_charge_or_vas,high,ambiguous,yes,Customer reports an unexpected deduction after recharge; historical response attributes it to loan repayment.,2910699,"@GloCare I borrowed #200 and recharged #400 card, and bought #200 data only for glo to deduct #100 from my account again. My number is 07054544145.",@805787 100 naira was debited yesterday as repayment for the loan taken. ^GM,147,False,True,False,True,True,False,True,False,True,False,True,False,4,2
,9,yes,data_plan_issue,high,ambiguous,yes,Customer wants help activating a specific data plan after recharge.,584005,"@GloCare my mobile #08159821678...I just recharge 1400 - was goin to load anoda 1100 so I can activate d (5gb) 2500 data plan, pls is there anything u can do to help?","@257777 Hello Chubby, kindly send CANCEL to 127 to deactivate the data auto renewal service on the line. It will enable you change subscription type.  TT",166,True,True,False,True,True,False,True,False,True,True,False,False,4,2
,10,yes,unauthorized_charge_or_vas,high,escalation_relevant,yes,Customer reports unexplained recurring deductions and does not recall subscribing.,2409934,"@GloCare please I need u assist me. When ever they are is money on you used to deduct it and I can remember subscribing to any news, advert or any",@692907 We apologize for this inconvenience. May we have the affected number for checks. #GloEverydayBonanza #TeamUnlimited# GA,146,False,False,False,True,False,False,True,False,True,True,False,False,3,2
,11,yes,data_plan_issue,high,routine,no,Customer wants to check an international-call bundle balance.,209665,"@GloCare Please check my combo bundle balance for Int'l calls for 1000k subscription bcoz anytime I check through *777#,#122*1# no ans nr 07059646781","@165622 Afternoon Roberts, please dial  #122*1#  to check the IDD pack balance.  TT",149,False,True,False,True,False,False,True,False,True,True,False,False,3,2
,12,yes,data_plan_issue,high,routine,no,Customer cannot purchase an internet data package.,471935,@GloCare @117627 Please why can’t I buy internet data? Been trying this since last night?,"@227392 @117627 We apologize.We are aware of it,our engineers are currently working on it kindly be patient. ET.""",89,True,True,False,True,False,False,False,False,True,True,False,False,2,2
,13,yes,data_plan_issue,medium,ambiguous,yes,Customer reports receiving less data than expected after a subscription.,2636639,@GloCare This is the sub I did (the first one) only to get 1636mb. Please! Whats up.?.?! https://t.co/A50adS4T5F,@744205 Kindly confirm when your previous plan expired. CA,112,True,True,False,True,False,False,False,False,True,True,False,False,2,2
,14,yes,data_plan_issue,high,routine,no,Customer wants to switch from a weekend data plan to a normal data plan.,1503862,"@GloCare @469054 My data is paused and is on a weekend plan, I want to switch back to my normal data plan . How please?","@469053 @469054 Hello,
Kindly call 444 or 08070140444 for assistance on your data.
Thank you

PE",119,True,True,False,True,False,False,False,False,True,True,False,False,2,2
,15,yes,data_plan_issue,high,escalation_relevant,yes,Customer cannot renew a data bundle and reports repeated customer-care difficulty.,2391743,@GloCare @117627 please what is going on ? I'm trying to renew my data bundle and It's not working.  As usual your customer care line never works!!!! Always held up🙄 please can you do something?,"@681851 @117627 We apologize, Kindly try it again later .EE",193,True,True,False,True,False,False,False,False,True,True,False,False,2,2
,16,yes,bonus_or_promotion_issue,medium,ambiguous,yes,Customer reports that their normal recharge bonus is no longer appearing.,2218206,"@GloCare pls Dear customer, a warm welcome of N200200 Free Airtime is yours. Since o, my normal bonus if I recharge, I nor dey c am again o.. Pls help","@208125 Kindly be explicit,so we may assist. CA",150,False,True,False,False,True,False,True,True,True,True,False,False,4,2
,17,yes,recharge_or_airtime_issue,high,escalation_relevant,yes,Customer recharged but reports a much lower remaining balance than expected.,834381,"@GloCare please I made a recharge of #1500,yesterday only to see #95 as my balance","@318689 Good morning, may we have your number for clarification. Thank you. SO",82,False,True,False,False,True,False,True,False,True,True,False,False,3,2
,18,yes,unauthorized_charge_or_vas,high,escalation_relevant,yes,Customer asks for unexplained deductions from airtime to be identified and removed.,493063,@GloCare @232556 @117627 Good Evening. Please help to scan my line and remove what do deduct my credit. Thank,@232555 @117627 Kindly send in your number. Thank you. CA,109,False,True,False,False,True,False,True,False,True,True,False,False,3,2
,19,yes,recharge_or_airtime_issue,high,escalation_relevant,yes,Customer paid a BMC debt but was still notified that the debt remained.,1000324,"@GloCare Hello,
I just cleared my BMC account of #200 but few mins later I was notified again to still be owing.
Pls can you run a check","@356824 Kindly send in your number ,for a check. CA",136,False,True,False,False,False,False,False,False,True,True,True,False,1,2
,20,yes,voice_or_line_issue,high,escalation_relevant,yes,Customer cannot make calls or send messages and reports call-drop errors.,1884940,@GloCare unable to make calls or send message again. Error response: call drop.Please its becoming annoying complaining everyday.08079053766,"@562409 Dear Femi, we sincerely apologize for the inconvenience. Kindly switch off and on your device after five minutes then try again. PE",140,False,True,False,False,False,False,False,False,True,True,True,False,1,2
,21,yes,voice_or_line_issue,high,routine,no,Customer asks how to migrate to a different calling tariff.,445933,"@glocare! Good morning! Want to migrate to call unit of 20/s, what the code pls. Th,ks","@220607 Morning Titilope, Gbam Extra has a tariff of 12k/sec to Glo and 15k/sec to other network. Access charge of N5 applies on days calls are made.  TT",86,False,True,False,False,False,False,False,False,True,True,False,False,1,1
,22,yes,bonus_or_promotion_issue,medium,ambiguous,yes,Customer asks about recharge requirements for unlocking additional bonus.,2651040,"@GloCare That was the response. Do I have to keep recharging, or what? I don't get it please.",@747753 Recharge more to unlock some more. Dial #122*23# to view unlocked bonus. ^GM,93,True,False,False,False,False,False,False,False,True,True,False,False,1,1
,23,yes,voice_or_line_issue,high,escalation_relevant,yes,Customer's calls cannot be completed despite trying customer care.,1433270,"@GloCare I call 124, still is the same thing. my call can not be completed please contact customer care.","@452788 Hello Ibrahim, we apologize. Issue has been escalated to the unit in charge for assistance. SO",104,False,True,False,False,False,False,False,False,True,True,False,False,1,1
,24,yes,sim_or_device_issue,high,routine,no,Customer asks how to reactivate a deactivated line/SIM.,469805,@GloCare please Globacom how will i activate my deactivated line ? If i load a Card will it activated ?????,"@226870 for deactivated sim, please visit the nearest Gloworld with N100, sim certificate and valid identity card. Thank you",107,True,False,False,False,False,False,False,False,True,True,False,False,1,1
,25,no,non_actionable_or_context_required,high,low_information,yes,The message refers to an unspecified prior issue and does not identify the support goal.,2330462,"@GloCare Please, how long would it take to be able to resolve this issue. The experience is not funny at all...","@674704 We apologize, Kindly be patient.Thank you.EE",111,False,False,False,False,False,False,False,False,True,True,False,False,1,1
,26,no,non_actionable_or_context_required,high,low_information,yes,The customer complains about prior assistance without stating the underlying issue.,276707,@GloCare called your customer care three times today and they've done the same thing you're doing now. Feigning assistance!,@182118 Please state the issue in this chat thread for assistance. Thank you.  TT,123,False,False,False,False,False,False,False,False,True,True,False,False,1,1
,27,yes,unauthorized_charge_or_vas,high,routine,no,Customer reports receiving unwanted service messages despite activating DND.,2146010,Dear @GloCare why am I still getting messages from 8888 after I've fully activated DND? Kilode Gan sef😠,@523891 Good morning. Kindly text STOP to 8888 or provide your number for necessary assistance. Thank you. FA,103,True,True,False,False,False,False,False,False,True,False,False,False,1,0
,28,yes,account_or_general_support,high,escalation_relevant,yes,Customer reports unexpected deactivation from a package and requests an account check.,1553142,@GloCare I wish to why I was deactivated from using the *200# package. I never knew when I stopped from using it,@480541 Kindly provide your phone number for checks Thank you for your patience. UO.,112,False,True,False,False,False,False,False,False,True,False,False,False,1,0
,29,yes,bonus_or_promotion_issue,high,routine,no,Customer reports missing bonus after purchasing a new Jumbo SIM and recharging.,2933831,@GloCare thankz. But dey didn't give me any bonus as i bought new jumbo sim yesterday with #1100 Recharge card.,@811250 Please dial #122*23# to view your unlocked JUMBO bonus. ^GM,111,False,True,False,True,True,True,True,True,False,True,False,False,5,2
,30,no,non_actionable_or_context_required,high,low_information,no,Message only confirms that browsing started working and thanks support.,65457,"@GloCare Dear Team, I just restarted the phone now and was able to browse, thanks for your response, we will monitor performance and keep you posted. Thanks",@130986 You are welcome. Stay Unlimited!!! AA,156,False,False,False,True,False,True,False,False,False,True,False,False,2,2
,31,yes,voice_or_line_issue,high,routine,no,Customer complains about high per-minute calling charges and wants a better tariff.,2330344,"@GloCare Hello glo, your I bought your sim, but it charges me me too high almost 30 per minute, airtel charge me less than 8naira per minute, what should I do to get good rate? I can’t deal with this high charge.",@676658 Kindly dial #100# to know your present package. Then click on for details of our plans to make a choice from https://t.co/bVzBGOevhb . GA,212,True,True,False,False,False,True,True,False,False,True,False,False,2,2
