customer_tweet_id,customer_text,brand_response,review_bucket
9089,@GloCare @117625 @117626 @117627 Recall this is the 13th times given out this number to you people especially TT,@117624 @117625 @117626 @117627 Record shows the VAS has been deactivated since yesterday.  Stay Unlimited!  TT,account_general_candidate|data_plan_candidate|voice_line_candidate
9092,@117628 @GloCare @117625 @117626 @117627 @48760 @53205 @7476  Hw @117627 is now robbing Peter 2pay Paul wht an unfortunate company is GLO network? I reported illegal deduction still ongoing.,"@117624 Hello Sumbo, no negative deduction noticed on the line. Please confirm the date and amount? SO",account_general_candidate
9099,@GloCare @117628 @117625 @117626 @117627 @48760 @53205 @7476 This is over 10 times u people have been asking 4my number with conflicting responses frm SO &amp; d likes. 08054117690. U must refund my money.,@117624 @117628 @117625 @117626 @117627 @48760 @53205 @7476 We sincerely apologize.We are unable to assist to access the line that we are currently carrying out an upgrade. Please check back later. SO,account_general_candidate|data_plan_candidate
14272,@GloCare Mashafa Road Mpape Abuja 09058689953.i have written and your people have come to the area and reported back yet you keep apologising action,@119034 We apologize for any inconvenience. Kindly be patient. Your mail will be attended to. Thank you.EE,account_general_candidate
14272,@GloCare Mashafa Road Mpape Abuja 09058689953.i have written and your people have come to the area and reported back yet you keep apologising action,"@119034 We  apologize, Kindly be patient. It will be worked on.Thank you .EE",account_general_candidate
19085,"@GloCare I need clarification, If I port from another network to glo and subscribe to your N5000 data plan, how many GB in total will I get?","@120252 Hello Tolulade, you will get 100% data (24GB will be credited) for 1st subscription. SO",account_general_candidate|data_plan_candidate
19090,@GloCare please I recharged 200 and it was deducted I was given 200mb. So how do I unsubscribe,"@120254 Good morning, please text cancel to 127 to deactivate auto renewal. However, revert with your number for status update. SO",account_general_candidate|data_plan_candidate
19092,"@GloCare please, how do I unsubscribe for data? ✌",@120254 Please visit https://t.co/GvxBuIxUZL for data plan list. UO,account_general_candidate|data_plan_candidate
20364,"@GloCare SN...__credit_card__
07055534656 is my number",@120451 Please dial #122*30# to confirm 4x bonus. Thank you. SO,account_general_candidate|data_plan_candidate
20372,"@GloCare 08073575706, behind costom office Federal Lowcost Northbank Makurdi Benue State. We ll be happy if this is fixed ASAP thnx.",@120453 Please restart the device and try your calls again. Line has been refreshed. SO,account_general_candidate
20372,"@GloCare 08073575706, behind costom office Federal Lowcost Northbank Makurdi Benue State. We ll be happy if this is fixed ASAP thnx.","@120453 Good morning, we empathize. However, you don't have an active data plan. Please dial *777# to subscribe and connect. SO",account_general_candidate
20396,@GloCare pls I want to know if I was giving the free data today how can I check it out tnxs,"@120455 Hello Umoh, yesterday was free data. Sms was sent to qualified customers. Confirmation code is #122#. SO",account_general_candidate
20406,"@GloCare  I can't understand y I can not see my account balance, i recharge 200 naira &amp; my account is empty. How?","@120456 Morning, kindly provide your number for a quick check. AP",account_general_candidate
21365,@GloCare Is it that ur engineers are not doing anything or u guys have not reported to em? It’s been 2weeks now that u can’t use the internet,"@120676 Kindly exercise patience.The complaint has been escalated, it will be resolved soon.Thank you",account_general_candidate
21374,@GloCare Deduction of 150 from my account for caller tunes which I never subscribed to,@120678 We apologize. May we have your number for assistance? SO,account_general_candidate|data_plan_candidate|voice_line_candidate
2491,@GloCare  a feast for glo collecting tat funds as if I don't know wat to do wit money please delete all unnecessary things I didnt subscribe,@116298 Good evening Solomon. May we have your cellphone number to run a check on your line? FA,data_plan_candidate
9089,@GloCare @117625 @117626 @117627 Recall this is the 13th times given out this number to you people especially TT,@117624 @117625 @117626 @117627 Record shows the VAS has been deactivated since yesterday.  Stay Unlimited!  TT,account_general_candidate|data_plan_candidate|voice_line_candidate
9099,@GloCare @117628 @117625 @117626 @117627 @48760 @53205 @7476 This is over 10 times u people have been asking 4my number with conflicting responses frm SO &amp; d likes. 08054117690. U must refund my money.,@117624 @117628 @117625 @117626 @117627 @48760 @53205 @7476 We sincerely apologize.We are unable to assist to access the line that we are currently carrying out an upgrade. Please check back later. SO,account_general_candidate|data_plan_candidate
