customer_tweet_id,golden_customer_text,golden_intent,retrieved_customer_text,retrieved_gloCare_response,similarity,retrieved_customer_tweet_id,relevance
1936686,"@GloCare so I recharged yesterday and I didn't get my usual bumba bonus, please why, 08117626261",bonus_or_promotion_issue,"@GloCare hi, I subscribed for N500 data and didn't get my bonus. Why?","@257778 Hello Lasaki, kindly provide your mobile number for checks and assistance.  TT",0.3001247516154083,584009,2
2092919,@glocare pls I migrated to Glo jumbo and recharged. I've been given bonus but couldn't use it to call. help,bonus_or_promotion_issue,@GloCare what's wrong with your network.. Couldn't use it to browse since yesterday,@634314 We apologize.Kindly provide your number and location  for checks.EE,0.2632866526549028,2159627,0
1972746,"@GloCare please if I recharge my jumbo SIM, for existing subscriber , will my money be taking or will it still remain on my main balance",data_plan_issue,@GloCare what are the benefit of jumbo SIM for existing subscribers?,"@747770 There is a pre loaded N200,000 credit that can be used to browse, send SMS and call Glo customers. CA",0.2801846440979695,2651167,2
1024681,"@GloCare  Could you please send me the steps to recharge my Glo numbers using Ecobank Bank, Wuse 2 Abuja, Nigeria.",recharge_or_airtime_issue,@GloCare Please send me back my #50 deducted from 09054590520,@220608 May we know when the deduction was made? ET.,0.2544789567380093,2782508,0
2582778,"@GloCare pls i don't know how this pre-loaded airtime works,  cus I bought a new sim and recharged but didn't see any bonus",bonus_or_promotion_issue,"@GloCare @117627 I just activated jumbo sim and I recharged 1k,I didn't get my 200% bonus or any bonus at all.","@232556 @117627 Evening Evans, dial #122*23# to check the unlocked Jumbo bonus. Stay Unlimited!  TT",0.2365073044235085,493071,2
1885085,"@GloCare,@117627, I've lodged complain that I've not been able to call out except the customer care line, and I can't recharge on my phone",voice_or_line_issue,"@GloCare what is the problem again this evening, I've not been able to call out since morning","@562313 Good morning, we apologize for the inconveniences experienced.The issue is being worked on, will be resolved shortly.Please bear with us. SO",0.3411754396696842,1884568,2
734481,"@GloCare please you guys should help me check my line as I was awarded 500mb after I recharged but I'm been deducted from my Normal data subscription which really isn't suppose to be so, this is the number 08058976647",bonus_or_promotion_issue,@GloCare N50 keep deducting from my line every now and then.  Pls help me check this. My no. 08030573601.,"@452790 Afternoon Solomon, the N50 deducted on the line was for the borrowed credit from the network.  TT",0.1774603747194054,1433282,0
1735825,"@GloCare I hav a lot of data&amp;call bonus,but's still charged frm my main balance Wen calln/browsn. &amp; #124#, #124*1# no longa work 08113877114",bonus_or_promotion_issue,"@GloCare Hi! I hav a lot of data &amp; call bonus,but I'm still charged frm my main balance Wen calln/browsn. Also,#124#, #124*1# no longer work","@512323 Evening,  kindly provide your number for a quick check. AP",0.8806304475702236,1686942,2
493087,@232561 @117627 @GloCare UPDATE!!! They've Deducted N10 From The 980 Again.. N1k Airtime Just This Morning Now Down To N970.. https://t.co/LWukklgbxv,unauthorized_charge_or_vas,"@232561 @117627 @GloCare That Was How I Hoped When N505 Was Down To Zero Naira... They've Started Again Today. I'm Not Hoping Again

I Was Even Shouting They Should Refund Me But Now They Can Keep The PRevious Money.. They Should Just Stop This Unnecessary Deduction Abeg!

@GloCare @117627 Is Beg I Beg https://t.co/2O7Lz0sSFr","@232560 @232561 @117627 Evening,  kindly provide your number for a quick check. AP",0.3339048191078272,493156,2
2474624,"@GloCare My sister recharged and subscribed for glo data plan of N1000 on the 10th, airtime value was deducted but haven't received data paid for, pls resolve asap.",data_plan_issue,"@GloCare, I subscribed for TBT100 in the morning, my airtime was Deducted but I haven't get the service till now.","@693916 Sincere apologies, kindly let us know the code you dialed to subscribe. GA",0.3266424675200646,2414033,2
2267327,"@117627 @659903 Since @GloCare won't take my calls please why is #100 taken from my account daily when I have not subscribed for data or any glo services. I bought this line on Thursday 9th Nov., 2017",unauthorized_charge_or_vas,@GloCare please why is my data paused?,"@404968 Hello Kevin, may we have your number for clarification. Thank you. SO",0.1829803932481904,1214213,0
2490259,"@GloCare @117627 Number-07052632663
Device type- infinix hot note x551
Location- Akwa Ibom state university, Ikot Akpaden, Mkpat enin, Akwa ibom state
Error message- emergency
Signal- No signal
Alternate numbers- 08128059629...08147428657",network_issue,"@GloCare @117627 Device type- infinix hot note x551
Location: Akwa Ibom state university, ikot Akpaden, Mkpat enin LGA, Akwa Ibom",@242707 @117627 Kindly provide your number. AP,0.8154662953373004,2490247,2
1371022,Lol prople dey para oo. Hahhahahahaaha. Oya @GloCare kindly stop any VAS service and callertunes oo. They have abused me for being too patient with u. I asked a question and yet to get an answer. How can i get my number across without dropping it on timeline? https://t.co/z5KKf4KEq9,unauthorized_charge_or_vas,@GloCare It is yet to resolved and I'm yet to get my airtime back... And I'm still receiving those goddamned Hausa sports update... What the heck.,@801998 kindly sms STOP to 2442 ~ OO,0.2111379509947954,2893700,2
2358305,@GloCare I can't browse check your network,data_issue,Glo please check your network  @glocare,@206557 May we know the issue you are encountering? CA,0.4271543795086363,1000334,1
296363,@GloCare Why am I charged for airtime not used?,recharge_or_airtime_issue,@GloCare your network is not only BAD but you guys won't stop defrauding Nigerians why am I charged #100 everyday for nothing.#fraudsters 😠😠,@674171 Good evening. May we have your cellphone number to run a check on your line? FA,0.3149404010943905,2327967,1
2380426,@GloCare old how can a customer check his data account? Thanks,data_plan_issue,@GloCare Hi. Pls how can I know number share his data to my number.,"@218151 Afternoon, to check lines sharing your data plan dial *127*00#.  TT",0.3555868417448818,433677,1
974051,@GloCare 07057789957....pls check why the money I recharged for auto renew was deducted without any apparent msg on d deduction,unauthorized_charge_or_vas,@GloCare the plans displayed on *777# are they for auto renewals or extension? Bcos I did not auto renew,"@276814 The plans are for both existing and new subscribers. If you subscribe before plan expires or within 7 days after expiration, you will get the 100% data bonus otherwise you will get the revised [half]data. Kindly dial and make your choice of plan. GA",0.2226524255389807,658653,1
120114,@GloCare u give sending me sms dat my network signal issues has being resolved I said u deducted money 08055451220 work on this pls,unauthorized_charge_or_vas,"@GloCare The reference""Dear Customer, Your Network Signal Issues Ref: GLO 1-4817898187 request has been resolved. Glo Unlimited!!!""",@596709 We apologize. May we know what the exact issue is? AP,0.2075418194675376,2049480,0
2330303,"@GloCare 08119242743,no network  bars atall,and went it comes up,i can't mk calls not even browse  wit it, Ajah, Lagos, Moba town etiosa lga",network_issue,"@GloCare 08119242743,no network  bars at all, and when it come back, i can't mk use it, and I just renewed my subscription,Ajah Lagos, Moba town, etiosa lga.yesterday till now, techno j8 boom","@674684 Hello Abubakar, we apologize. We are aware of the issue and the network engineers are working to resolve it. Kindly be patient. TT",0.4385798986518902,2330306,2
