review_order,customer_tweet_id,customer_text,brand_response,golden_selected,golden_intent,confidence,case_type,escalation_expected,annotation_notes
1,1936686,"@GloCare so I recharged yesterday and I didn't get my usual bumba bonus, please why, 08117626261",@576175 the line provided is not on Glo Bumpa but on Glo Bounce ~ OO,yes,bonus_or_promotion_issue,high,rare,no,Customer expected a recharge-linked bonus and did not receive it.
2,2092919,@glocare pls I migrated to Glo jumbo and recharged. I've been given bonus but couldn't use it to call. help,@246223 #TeamUnlimited# to the rescue! Kindly provide your number for checks  @83873. Thank you for choosing Glo. GA,yes,bonus_or_promotion_issue,high,ambiguous,yes,Bonus was received but could not be used for calls; line-specific checking is required.
3,1972746,"@GloCare please if I recharge my jumbo SIM, for existing subscriber , will my money be taking or will it still remain on my main balance","@584299 Hello Kommanda, the amount recharged will be credited in your main account. Bonus will be credited in a different account. Thank you. SO",yes,data_plan_issue,high,routine,no,Asks how Jumbo recharge affects main balance versus bonus balance.
4,1024681,"@GloCare  Could you please send me the steps to recharge my Glo numbers using Ecobank Bank, Wuse 2 Abuja, Nigeria.",@362474 Please visit any of : https://t.co/QtHZF68dka  or https://t.co/E1huUCbBr9 or https://t.co/6tDm6qs8TT Thank you. GA,yes,recharge_or_airtime_issue,high,routine,no,Asks for the procedure to recharge a Glo number through a bank.
5,2582778,"@GloCare pls i don't know how this pre-loaded airtime works,  cus I bought a new sim and recharged but didn't see any bonus","@731949 Hello Chinedu , Kindly recharge to unlock the bonus .EE",yes,bonus_or_promotion_issue,high,rare,no,New SIM and prepaid bonus entitlement are the support goal.
6,1885085,"@GloCare,@117627, I've lodged complain that I've not been able to call out except the customer care line, and I can't recharge on my phone","@136518 @117627 Hello Olokunniyi, we apologize for the inconveniences experienced.Issue is being worked on, will be resolved shortly.Please bear with us. SO",yes,voice_or_line_issue,medium,ambiguous,yes,Primary complaint is inability to make calls; recharge failure is a secondary issue.
7,734481,"@GloCare please you guys should help me check my line as I was awarded 500mb after I recharged but I'm been deducted from my Normal data subscription which really isn't suppose to be so, this is the number 08058976647",@295735 Good morning Eze. The bonus data is added to your data bundle. FA,yes,bonus_or_promotion_issue,medium,ambiguous,yes,Complaint concerns how awarded bonus data is being consumed relative to the normal bundle.
8,1735825,"@GloCare I hav a lot of data&amp;call bonus,but's still charged frm my main balance Wen calln/browsn. &amp; #124#, #124*1# no longa work 08113877114","@512323 Afternoon,you have exhausted your data bonus. The voice bonus can only be used for glo to glo calls. AP",yes,bonus_or_promotion_issue,medium,ambiguous,yes,Customer expects bonus balances to be used before main balance; requires account/usage checking.
9,493087,@232561 @117627 @GloCare UPDATE!!! They've Deducted N10 From The 980 Again.. N1k Airtime Just This Morning Now Down To N970.. https://t.co/LWukklgbxv,"@232560 We apologize,kindly provide your number for a quick check. AP",yes,unauthorized_charge_or_vas,high,escalation_relevant,yes,Customer reports unexplained airtime deductions.
10,2474624,"@GloCare My sister recharged and subscribed for glo data plan of N1000 on the 10th, airtime value was deducted but haven't received data paid for, pls resolve asap.","@707496 Sincere apologies, may we have the affected number and device type? GA",yes,data_plan_issue,high,routine,yes,Data plan was paid for but the purchased allocation was not received; transaction-specific check needed.
11,2267327,"@117627 @659903 Since @GloCare won't take my calls please why is #100 taken from my account daily when I have not subscribed for data or any glo services. I bought this line on Thursday 9th Nov., 2017","@659902 @117627 Kindly send in your number,for a check. CA",yes,unauthorized_charge_or_vas,high,escalation_relevant,yes,Customer explicitly reports recurring deductions for an unrequested service.
12,2490259,"@GloCare @117627 Number-07052632663
Device type- infinix hot note x551
Location- Akwa Ibom state university, Ikot Akpaden, Mkpat enin, Akwa ibom state
Error message- emergency
Signal- No signal
Alternate numbers- 08128059629...08147428657","@242707 @117627 Sincere apologies Cater, We apologize for any inconvenience you may have experienced.The complaint has been escalated. You will receive a text informing you when the issue will be rectified. Thank you. GA",yes,network_issue,high,escalation_relevant,yes,Explicit no-signal/network failure with location and device details; historical response says it was escalated.
13,1371022,Lol prople dey para oo. Hahhahahahaaha. Oya @GloCare kindly stop any VAS service and callertunes oo. They have abused me for being too patient with u. I asked a question and yet to get an answer. How can i get my number across without dropping it on timeline? https://t.co/z5KKf4KEq9,@280908 Good afternoon. May we have your cellphone number to run a check on your line? FA,yes,unauthorized_charge_or_vas,high,escalation_relevant,yes,Explicit request to stop VAS/callertunes and avoid sharing the number publicly.
14,2358305,@GloCare I can't browse check your network,"@126251 Hello, may we know your location?",yes,data_service_issue,high,ambiguous,yes,Customer cannot browse; 'check your network' adds ambiguity but the immediate service failure is data/browsing.
15,296363,@GloCare Why am I charged for airtime not used?,"@186582 Afternoon Ogwu, once the credit is borrowed the system will charge you appropriately.  TT",yes,recharge_or_airtime_issue,medium,ambiguous,yes,Customer disputes unexplained airtime usage; exact cause cannot be determined without account history.
16,2380426,@GloCare old how can a customer check his data account? Thanks,@686365 Its *127*0# or INFO to 127 to check. ^GM,yes,data_plan_issue,high,routine,no,Customer asks how to check the data account/balance.
17,974051,@GloCare 07057789957....pls check why the money I recharged for auto renew was deducted without any apparent msg on d deduction,"@153135 Good morning, please confirm the amount recharged, method of recharge and date for clarification. Thank you. SO",yes,unauthorized_charge_or_vas,medium,escalation_relevant,yes,Customer reports money disappearing after recharge/auto-renewal and requests a check.
18,120114,@GloCare u give sending me sms dat my network signal issues has being resolved I said u deducted money 08055451220 work on this pls,@139868 Hello Kazeem. Kindly dial STOP to  35182 to deactivate the subscribed VAS. You may also send STOP to 2442 for full VAS DND.  TT,yes,unauthorized_charge_or_vas,high,escalation_relevant,yes,Customer reports a deduction and historical resolution points to VAS deactivation.
19,2330303,"@GloCare 08119242743,no network  bars atall,and went it comes up,i can't mk calls not even browse  wit it, Ajah, Lagos, Moba town etiosa lga","@674684 Hello, we apologize. We are aware of the issue and the network engineers are working to resolve it. Kindly bear with us. DA",yes,network_issue,high,routine,yes,"Clear no-network complaint affecting calls and browsing, with location."
20,16086,@GloCare it has become obvious dat my units are taken illegally. I recharged 300 last week never called for even a minute but yesterday...,"@119528 Afternoon Daytonye, kindly provide your mobile number for checks and assistance.  TT",yes,unauthorized_charge_or_vas,high,escalation_relevant,yes,Customer believes airtime units were taken illegally and needs account investigation.
21,793275,"@GloCare, i can't browse with Glo, but same setting, is what am browsing on Mtn, we love ur network more than other, kindly do something pls","@307683 Please confirm the apn, username and password. Also revert with your number and exact location. SO",yes,data_service_issue,high,routine,no,Cannot browse on Glo while another network works; clear mobile-data service problem.
22,745771,"@GloCare I have made complaints severally on how glo deducts my airtym,yet nothing was done abt. I will never patronize ur useless network again","@298299 Good morning, we apologize about it. The issue has been forwarded to our resolution team for assistance. Thank you. SO",yes,unauthorized_charge_or_vas,medium,escalation_relevant,yes,Repeated complaint about airtime deductions with no resolution.
23,1258137,@GloCare network been switching off &amp; on. It has been completely off for a while now &amp; I can't even call customercare pls help 07053337908,"@414813 Kindly select 3G only network; not Auto, on your device setting for better connection. TT",yes,network_issue,high,routine,no,Network repeatedly switches off/on and customer cannot reach customer care.
24,2764089,"Dear customer, your subscription of CHOLESTROL's gpa cannot be renewed due to insufficient balance. @117627 @GloCare CANCEL. I did not subscribe to it. #Fraud.","@201381 @117627 Morning Edu, kindly send STOP to the VAS code or provide your mobile number for assistance to deactivate the VAS.  TT",yes,unauthorized_charge_or_vas,high,routine,no,Explicitly rejects an unrequested paid VAS subscription.
25,2651022,"@GloCare Hello. It's an office line, it's for calls only. I told you it does not support browsing. Kindly tell me i you can refund the airtime or not. This is taking too long","@747750 Apologies, kindly send a mail to __email__ for further assistance. DA",yes,recharge_or_airtime_issue,high,escalation_relevant,yes,Customer seeks an airtime refund and historical response directs further assistance.
26,2330300,"@GloCare 08119242743,no network  bars atall, and wen it come back, i can't mk use it, and I just renewed my data,Ajah Lagos, Moba town, etiosa lga.yesterday till now, techno j8 boom","@674684 Hello, we apologize. We are aware of the issue and the network engineers are working to resolve it. Kindly bear with us. DA",yes,network_issue,high,ambiguous,yes,No network is the primary issue; inability to use newly renewed data is a consequence/secondary symptom.
27,496767,@GloCare earlier this week i used the 2442 DND code given to me by one of ur agents nw am getting msgs 4 a service i didnt subscribe 4 with my airtime deducted 4 said service Again!!!,@227394 We apologize. May we have your number for assistance? SO,yes,unauthorized_charge_or_vas,high,escalation_relevant,yes,Unsolicited service and airtime deduction despite DND are explicit VAS complaints.
28,2817931,"@GloCare Please check again, Firstly 400 naira was deducted, I loaded 100 naira, no deduction, 500 naira was loaded, and the last 100 naira was deducted, why deducting from the 1000 naira, and why is 20 naira still remaining","@785493 Hello Julius, N20 was debited from the amount (N100) recharged for value added service. Hence, the remaining amount was not sufficient to clear the outstanding loan. SO",yes,unauthorized_charge_or_vas,high,ambiguous,yes,Multiple deductions are explained historically as VAS plus outstanding loan; customer disputes deductions.
29,2159663,"@GloCare The number is 08050630693, HTC M8, Igbeti in olorunsogo LG OYO state, 3G network failure and also kindly note that we experience incessant network outage due power failure ( some times 4 days in a week) since Dec 2016, several complaint but still same .",@634317 The issue has been escalated to the unit in charge and It will be resolved soon. AP,yes,network_issue,high,escalation_relevant,yes,Long-running 3G/network outage with repeated complaints and explicit escalation history.
30,2724779,"@GloCare @117627 Stop emphasizing with mee. I've provided you with the number - +234 807 683 5245 - not fewer than 3times. Afterwards, you still resubscribed mee to the unsolicited services and deducted my money. @104856 @117626 @7475 @104937 @120330 @127588 @562660",@264735 @117627 The VAS on the line has been deactivated. Sens STOP to 2442 for full VAS DND.  TT,yes,unauthorized_charge_or_vas,high,escalation_relevant,yes,Unsolicited services were re-subscribed and money deducted; explicit VAS issue.
31,2651024,"@GloCare Would he/they refund the airtime?  I have used the live chat portal, still on Twitter, now Mail. If @GloCare  cannot provide the needed​ assistance, i think you should just tell me. I'm new on the network. I wouldn't want​ to waste my time and effort chasing after the wind.","@747750 Apologies, the data cannot be refunded. Thank you. DA",yes,recharge_or_airtime_issue,medium,escalation_relevant,yes,Customer is seeking a refund for an airtime/data-related transaction after repeated support attempts.
32,788938,@GloCare  okk. I've sent in my complaint,@308138 May we have your number? CA,yes,non_actionable_or_context_required,high,low_information,yes,Only says a complaint was sent; the underlying support goal is absent.
33,209546,@GloCare Yet to receive my N100. Pls refund!,"@165602 Hello Folashade, we apologize for the delay experienced. Work is in progress. Please bear with us. Thank you. SO",yes,non_actionable_or_context_required,medium,ambiguous,yes,Requests a refund of N100 but gives insufficient context to determine the underlying transaction/intent.
34,496751,@117627 @GloCare Please confirm if 08118280516 is 4G simcard,@233526 @117627 4G is active on the sim. SO,yes,sim_or_device_issue,high,routine,no,Directly asks whether a particular SIM is 4G-capable.
35,1931789,@GloCare how does one transfer credit from one phone to another?,"@372400 Hello Omoniyi, dial *131*Number*Amount* PIN# to share credit. To change PIN dial *132*00000*New PIN*New PIN# Default PIN is 00000. TT",yes,recharge_or_airtime_issue,high,routine,no,Asks how to transfer/share airtime credit between phones.
36,1964647,Please and please epp my solution @GloCare  this your network is crawling 😭😭,"@582442 Morning.We apologize.Kindly provide your number, device type, exact location and error response for a quick check . Thank you. AP",yes,network_issue,high,routine,yes,Explicitly says the network is crawling; customer-specific diagnostics are needed.
37,1138796,@GloCare please is glo me2u not functioning again? I want to transfer credit,"@388245 it is, may we know the error it gives when you try to transfer credit? OO",yes,recharge_or_airtime_issue,high,routine,no,Glo Me2U credit-transfer functionality is the stated support goal.
38,2765226,@GloCare Though 2G can't be reached.... I can be reached on my 3G phone on 08053355365,@773395 The issue reported has been escalated for resolution. Kindly be patient.  TT,yes,network_issue,medium,ambiguous,yes,Message is incomplete/context-dependent but clearly discusses network reachability by generation.
39,1122587,@GloCare I have restarted my phone a million times. It's not a restart problem. It's a network problem. It's back now though,@384758 okay,yes,network_issue,high,routine,no,"Explicit network problem, although it had already recovered when the message was sent."
40,2345094,"@GloCare I have done all these your device tyre ,off and on,restart your device and change to 3G only all these these did not work...even one your guys told me the fault is from your end .common its talking long for christsake","@678143 Hello Irohvincent , kindly provide the details below for resolution. Thank you. DA",yes,network_issue,high,escalation_relevant,yes,Customer reports persistent network failure after device troubleshooting and says the fault is on the provider side.
